Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
What priorities would you recommend for a person entering this field?,What should I do first if I want to do this?,What most important for me to do?,Are there things that would keep me from doing this?,,,,,,,,,,,,,,,,,,,,,,,
How fair are the expectations of you as an employee?,Are the orders that you get fair?,Are you ever asked to do more than you are able to do?,Who decides how much work you should do?,Do you think you are overworked?,Are you overworked?,How fair is working for the military?,,,,,,,,,,,,,,,,,,,,
How accepting of failure is this work environment when a good and honest effort was made?,"If you screw up, but worked hard, do you get another chance?","Is failure, even if it is not your fault, held against you?",Do you get blamed if something does not work?,How severe is failure at work?,,,,,,,,,,,,,,,,,,,,,,
What range of tasks and opportunities does this field present to allow me to grow?,Can I move up?,Does everybody have a chance to get promoted?,Is there always something new to learn and master?,,,,,,,,,,,,,,,,,,,,,,,
How satisfied have you been with your bosses in your career?,Is you leadership competent?,Are officers helpful or are they pests?,Do people senior to you screw with you all the time?,Do you like your boss?,Is your boss scary?,,,,,,,,,,,,,,,,,,,,,
Describe the technological environment in which you've worked.,What is the technology around you every day?,Do you work with a lot of technical equipment?,Do you work with fancy gear or just regular tools?,Do you work in a lab or on-site?,,,,,,,,,,,,,,,,,,,,,,
What is your opinion on nuclear energy and its future?,Do you think this field will be around for years or go away?,Are you happy working in this field?,Don't you think this work is dangerous to everyone?,,,,,,,,,,,,,,,,,,,,,,,
What organizations were most helpful to you in your career?,What organizations are important to your work?,Do you have a professional society?,Should I join any professional groups?,,,,,,,,,,,,,,,,,,,,,,,
What is MWR?,"What does morale, welfare and recreation do?",Who takes care of your having a good off-duty life?,Is MWR a Navy organization?,,,,,,,,,,,,,,,,,,,,,,,
What is USO?,Is USO the group that puts on shows for GIs and Sailors?,What does USO stand for?,Is USO part of your life?,,,,,,,,,,,,,,,,,,,,,,,
What kind of risks do you need to take in this field?,Is this dangerous?,Do you sometimes have to take chances?,Has this job ever made you feel insecure?,,,,,,,,,,,,,,,,,,,,,,,
Should I go to college before or after serving?,College first or later?,Will the Navy let me go to college while on active duty?,Do college grads do better in this kind of work?,,,,,,,,,,,,,,,,,,,,,,,
How can your work change the world?,Is your work important to all of us?,Will you work help or hurt us?,Will the future be better because of your work?,,,,,,,,,,,,,,,,,,,,,,,
What's your favorite book of all time? Why?,what have you read that changed you?,have you read anything that made a difference in your life?,what's your favorite read?,Do you have a favorite book?,Is there a book that changed your life?,Is there a book that you love?,Your favorite book?,,,,,,,,,,,,,,,,,,,
What's your favorite movie of all time? Why?,is there a movie you really like?,What is one movie that you love?,Do you have a favorite movie?,What movie do you love?,Your favorite movie?,,,,,,,,,,,,,,,,,,,,,
"If you could meet anyone in the world today, who would it be and why? What would you say to that person?",one famous person you'd like to talk to about something of interest to you?,Who is one person you would like to meet and what would you ask them?,who would you like to meet and talk to?,Who would you love to meet and ask questions?,,,,,,,,,,,,,,,,,,,,,,
What kind of personal satisfaction do you get from your job?,does your job make you feel good about yourself?,how does your work improve your own self-image?,what part of you feels good after a day's work?,Does your work satisfy you?,Do you feel satisfied doing your job?,Does your job make you satisfied?,,,,,,,,,,,,,,,,,,,,
What qualifications and experience do recruiters look for when choosing new people for this field?,how should I sell myself to get in the Navy?,what do I need to be able to say about myself to work in this field?,What do recruiters look for when choosing new candidates for this field?,What do recruiters look for in potential candidates?,What do I need to do in order to get into this field?,What qualifications and experience do I need for this field?,,,,,,,,,,,,,,,,,,,,
What do you see as the major problems for those working in this field today?,what are the hot button issues in this line of work?,what worries most people about this work area?,what are some issues for people working in this field?,What are some problems that people who work in this field face?,What are some problems that you face?,what is the future of the Navy?,tell me about the future of the military.,,,,,,,,,,,,,,,,,,,
What person do you most admire and why?,who is really cool to you?,what person stands out to you?,who is the best role model?,Whom do you admire?,Which person do you admire and why?,Who is a role model for you?,Who is your role model?,,,,,,,,,,,,,,,,,,,
Tell me a funny story.,make me laugh,what tickles you,tell me something funny.,Narrate a funny story.,have you ever been in australia?,tell me a story.,do you know any funny stories?,,,,,,,,,,,,,,,,,,,
Where were you born?,Where are you from?,in what city were you born?,what's your home state?,Were you born in Los Angeles?,,,,,,,,,,,,,,,,,,,,,,
What is Japan like?,describe where you are now,talk about your current surroundings,let me know what you think about where you live,how is Japan?,How is Japan different from America?,Tell me about the place where you currently live. ,Tell me about Japan.,Describe Japan.,Do you like Japan?,Can you tell me about your life in Japan?,do you want to live in Japan?,could you see yourself settling down or moving to Japan?,what is your favorite country,,,,,,,,,,,,,
What do you do in computer science/programming?,talk about working on computers.,what kind of computer work do you do?,are you a hardware of a software guy?,What exactly do you do in computer science?,Do you write code?,Do you build computers?,What is it that you do with computers?,What is the difference between software and hardware engineering?,what is the difference between computer science and software engineering?,what's the difference between computer science and software engineering?,,,,,,,,,,,,,,,,
What is your strategy for overcoming your hardships?,how do you handle tough situations?,in what way do you get over hurdles?,how do you meet challenges?,How do you face hurdles?,How do you deal with hardships?,What is your game plan for dealing with hardships and challenges?,How do you overcome challenges?,,,,,,,,,,,,,,,,,,,
What advice do you have for someone who is growing up surrounded by drugs and crime when sometimes it seems like it's too hard to get through school?,how can a person come out of a tough neighborhood and still do well?,do you believe some people are just lost and can never have a good life?,does a bad childhood ruin a person or strengthen them?,What advice do you have for someone who grew up in tough surroundings?,How does a tough childhood affect someone and how can they come out of it?,,,,,,,,,,,,,,,,,,,,,
Were you ever bullied in high school? What did you do?,how do you handle tough guys?,is there a way to stand up to mean people?,Did people bully you in high school?,Have you been bullied in high school?,What was high school like for you?,,,,,,,,,,,,,,,,,,,,,
What advice do you have for people who are being bullied in high school?,Can you give some advice to handle bullies?,can people develop courage and handle bullies?,how does a person learn to fight back against bullies?,How do you handle bullies?,Can you tell me how to handle bullies?,,,,,,,,,,,,,,,,,,,,,
Do you have a family?,What's your family like?,Do you have family?,Do you have kids?,,,,,,,,,,,,,,,,,,,,,,,
What advice do you have for spouses who don't understand the career demands of the Navy?,can families get used to or learn to love the Navy life?,do some spouses never learn to get along in the Navy?,is there a way to talk someone into liking the Navy way of life?,How do Navy people convince their spouses about the demands of the Navy?,How can you make spouses understand about life in the Navy?,Is there a way to handle spouses who don't understand the demands of the Navy?,How to handle spouses who can't understand the demands of the Navy?,,,,,,,,,,,,,,,,,,,
Did you like wearing the same uniform every day? Why or why not?,how is wearing the same uniform everyday?,Do you like dressing the same way every day?,Do you hate your uniform?,What do you feel about wearing the same uniform daily?,Did you hate wearing the same uniform every day?,What uniform are you wearing?,,,,,,,,,,,,,,,,,,,,
What is a regulator?,do electrician work with regulators?,what do regulators do?,how does a regulator work?,Explain the working of a regulator.,Tell me what a regulator is.,,,,,,,,,,,,,,,,,,,,,
Tell me about Naval Postgraduate School.,is NPS Naval Postgraduate School?,who goes to Naval Postgraduate School?,what's it like at NPS?,What is the naval postgraduate school?,,,,,,,,,,,,,,,,,,,,,,
Where is the Naval Postgraduate School?,Where is the naval postgraduate school located?,is NPS in California?,is NPS close to San Francisco?,Where is the NPS?,Which city is the NPS in?,,,,,,,,,,,,,,,,,,,,,
What are the most important things on a resume?,What should be included in a resume?,What are some of the things that must be on a resume?,What can I not afford to exclude from my resume?,How should my resume look like?,What is needed in a resume?,,,,,,,,,,,,,,,,,,,,,
Where can I find an internship that will give me skills for the engineering field?,Where can I find relevant internships?,Where can I find apprenticeships in engineering?,Where do I look for internships?,Where do I find engineering internships?,Where can I look for internships in engineering?,How do I get an internship?,How do I become an intern?,Are there lots of internships?,,,,,,,,,,,,,,,,,,
What do you advise me to do in picking the right career field for me?,tell me how to make the best job decision?,can you help me pick the right career field for me?,how can I be sure I am doing the right thing?,What advise can you give me that can help me in picking the right career field?,how do I pick the right career field?,When did you switch from nuclear tech to computer science?,,,,,,,,,,,,,,,,,,,,
How do I find what I love to do?,How can I find what I am passionate about?,How to find what I love to do?,What are some indicators that I love something?,How do I find my passion?,Tell me how to find a passion.,I don't know what I want to do.,,,,,,,,,,,,,,,,,,,,
What should I do if I don't know what job I want to do?,I don't know what job I want. How do I solve this?,can you help me if I don't know what to do?,I'm stuck in selecting my career path. Can you help?,What should I do if I don't know which job would suit me best?,,,,,,,,,,,,,,,,,,,,,,
Who are the best people to talk to when making a career choice?,who should I talk to first?,what kind of people are helpful in assessing where I belong?,where should I go for career advice?,Who can advise me in making a career choice?,Who are the best people to consult when making a career choice?,,,,,,,,,,,,,,,,,,,,,
Who first introduced you to the military lifestyle?,How did you first find out about the military?,Who gave you the best advice about the military?,Did you get a glimpse of the military life before you enlisted?,Who gave you valuable advice that helped you?,,,,,,,,,,,,,,,,,,,,,,
What is one piece of advice that you wished you had taken?,what's the best thing anybody told you that you wish you'd listened to?,is there some piece of advice you wished you'd used?,did you ignore something you now know would have been useful?,What is one advice that you ignored?,Is there advice you ignored that would have helped you today?,do you have any regrets?,do you feel like you have missed out on anything?,"You're still pretty young, do you miss the action?",,,,,,,,,,,,,,,,,,
What is one question you wish you had asked earlier?,what did you wish had found out earlier?,What is one question you never asked?,What did you never ask but wish you had?,One question you wish you had asked before?,Is there something you wish you had asked earlier?,,,,,,,,,,,,,,,,,,,,,
What is something you wish you had known before choosing your career?,what should you have known before settling on a job?,was there something vital that you should have found out about your job before you began?,what was missing data in your job search?,Is there something about your career you wish you had known before making a career decision?,Is there something that would have affected your career decision but you never knew it then?,,,,,,,,,,,,,,,,,,,,,
What is the most challenging part about your job?,what do you do that is difficult?,Is your job tough?,what's the worst thing about your job?,What do you not like to do?,What do you hate doing?,Was there ever a time you hated your job?,What did you hate about being in the Navy?,what is the biggest challenge you've had in the Navy?,what are the challenges of being a sailor?,Was there ever a time when you hated your job/,,,,,,,,,,,,,,,,
What is the biggest barrier to entry in this field?,what would keep me out of this line of work?,is there something that keep people from being able to do this?,what is the hardest thing to master before you can get in this field?,What do you have to discipline new cadets most on?,what is hardest for new recruits to learn?,what is difficult to adjust to when joining the Navy?,,,,,,,,,,,,,,,,,,,,
How did you become interested in this type of work?,What got you into this job?,how did you come to want to do this?,Did you always want to be in this career field?,How did you you become interested in the Navy?,,,,,,,,,,,,,,,,,,,,,,
How did you first become interested in computer science?,what brought you into computer science?,did you always love programming computers?,do you remember your first introduction to computers?,how did you get introduced to computer science?,how did you choose your major?,how did you choose computer science?,when did you discover your passion?,How did you find your passion?,why did you go into computer science?,why did you join CS?,why did you study computer science?,Do you have a million dollar idea?,How did you choose your field?,So when did you start finding your passion?,,,,,,,,,,,,
Why did you choose this career?,tell me why you are in the navy.,did you choose the Navy or was it forced on you?,why are in your current job?,why did you take this career path?,How did you choose the Navy?,what went into choosing your career in the Navy?,why did you join the navy?,was the Navy your first choice?,How did you decide to join the navy?,Why did you choose the military?,Why did you choose the Navy?,How did you decide you wanted to go into the navy?,What is your job today?,why did you choose your current job,,,,,,,,,,,,
"If you could do it all over, would you choose this career again?",if you were starting over would you make the same choices about your career?,do you regret choosing this career path?,do you any regrets about choosing this profession?,did you miss out on anything by joining the Navy?,what do you give up for the Navy?,what negative consequences have come from your work?,do you regret anything from going to the navy?,,,,,,,,,,,,,,,,,,,
"When you were a kid, what did you want to be when you grew up?",did you dream of doing a job like this?,did you have dreams of being something else?,do you remember what you used to think you wanted to do as an adult?,do you like the arts?,are you artistic?,Do you have other passions besides STEM?,Why don't you just do music as a hobby then?,why didn't you pursue music?,do you like art?,,,,,,,,,,,,,,,,,
What sports did you play in high school?,were you an athlete in high school?,were you ever on sports teams before coming in the Navy?,what sports did you like to play?,are you athletic?,what did you do in high school?,did you do any activities or extraurriculars in high school?,,,,,,,,,,,,,,,,,,,,
Are you married?,have you got a spouse?,are you single?,do you have a wife?,are you in love?,do you have a girlfriend?,are you in a relationship?,do you date?,do you have a significant other?,how many times have you been married?,Do you have a significant other?,Do you have a girlfriend?,Do you have a boyfriend?,Do you date?,"Being in the navy, is it difficult for you to have a relationship?",Do you have any kids?,do you have a lover,,,,,,,,,,
Do you have siblings?,do you have any brothers or sisters?,how many kids in your family growing up?,are you an only child?,how is your relationship with your brother or sister?,,,,,,,,,,,,,,,,,,,,,,
Do you have any pets?,did you ever own an animal?,were you responsible for a pet?,did your parents allow you to have a pet?,have you had a pet?,do you like animals?,do you have a cat?,do you have a dog?,do you like pets?,Do you like cats?,,,,,,,,,,,,,,,,,
What is your least favorite food?,is there anything you hate to eat?,what food makes you gag?,what food do you hate?,,,,,,,,,,,,,,,,,,,,,,,
What is the food like in the military?,how is Navy chow?,are the mess halls good places to eat?,can you eat well in the military?,is there healthy food in the Navy?,how is the food?,how's the food?,what is the food like?,is Navy food good?,,,,,,,,,,,,,,,,,,
Do you shoot guns?,how often do you get to shoot guns?,do you fire rifles in the Navy?,does everyone use guns?,,,,,,,,,,,,,,,,,,,,,,,
Can you explain the ribbon system?,what do the decorations on your uniform mean?,what is the difference in ribbons and medals?,what do you use the ribbons for?,how do you get ribbons?,what do ribbons mean?,,,,,,,,,,,,,,,,,,,,,
What are the ribbons/awards that you've gotten?,which medals did you earn?,what recognition have you gotten?,what did you do to earn your decorations?,have you gotten any awards for your service?,what are your military acheivements?,,,,,,,,,,,,,,,,,,,,,
Do you have any tattoos?,do you like to have tattoos?,did you ever get tattooed ?,are tattoos common in the Navy?,what tattoos do you have?,show me your tattoos.,,,,,,,,,,,,,,,,,,,,,
Do you get to swim in the ocean?,is swimming ever allowed on ships?,can you swim off of your ship or submarine?,how often do you swim in the Navy?,what is it like to swim in the ocean?,do I have to swim in the ocean?,Have you ever swim in the middle of the ocean?,have you swam in the ocean?,do you get to swim in the ocean?,when have you swam somewhere cool?,,,,,,,,,,,,,,,,,
Do you have to be a good swimmer to join the Navy?,can only good swimmers join the Navy?,do any non-swimmers get into the Navy?,do you have to practice swimming in the Navy?,what is the ability requirement for swimming?,will I get into the Navy if I can't swim?,can everyone in the Navy swim?,do you know anyone who can't swim?,Is there anyone in the navy who can't swim?,,,,,,,,,,,,,,,,,,
What is deployment?,what is it like being at sea?,do you have a good definition of deployment?,is a deployment always sea duty?,what does deployment mean?,What is considered deployment?,What does it mean to deploy?,How long are you on a ship for?,How much time are you out at sea?,,,,,,,,,,,,,,,,,,
What's something that most people don't know about computer science?,what things about your job are unknown to most people?,what suprises people about computer science?,what is the major point of ignorance concerning computer science?,what don't people know about CS?,,,,,,,,,,,,,,,,,,,,,,
Who gave you the best advice about your career?,"who was your ""go to guy"" regarding your career?",who was you best career counselor?,what person helped you the most to get where you are today?,what is the best advice you received?,What is the best piece of advice that you've received?,,,,,,,,,,,,,,,,,,,,,
How can I work smarter?,is there a more effective way for me to approach this?,how can I improve my activities?,am I pursuing this the wrong way?,how can I become more efficient?,is there a better way to do this?,,,,,,,,,,,,,,,,,,,,,
What would you advice a person in this field to do in order to create good relationships with bosses?,how do people learn to get along with their bosses?,is there away to avoid trouble with your bosses in this field?,how can I create good relations with senior personnel?,how do I make good relationships with management?,,,,,,,,,,,,,,,,,,,,,,
Does the Navy give you housing?,are quarters provided?,are  barracks always available?,does everybody in the Navy live in government buildings?,do I have to pay for housing while in the Navy?,,,,,,,,,,,,,,,,,,,,,,
What has been your favorite place to live?,did you enjoy living in any particular place?,what were you favorite places you were stationed?,where were your most enjoyable assignments?,where did you love to live?,where is the best place to live?,Have you moved around?,Do you move a lot?,,,,,,,,,,,,,,,,,,,
Did the Navy give you a chance to live overseas?,have you been assigned overseas?,have you been able to live abroad?,has the Navy moved you to different countries?,,,,,,,,,,,,,,,,,,,,,,,
What was your promotion track throughout your Navy service?,how have you advanced in the Navy?,tell me about you ranks or rates in the Navy.,can you characterize your career path?,how have you progressed in rank?,how did you get to be a chief?,,,,,,,,,,,,,,,,,,,,,
What was your salary throughout your Navy service?,what's the pay like?,how much have you earned?,can I see what people get paid in the Navy?,what do sailors get paid?,how much does the military pay?,do you make a lot of money?,what is the average salary?,do officers get paid more than regular people?,,,,,,,,,,,,,,,,,,
Can you explain the ranking system E and numbers?,tell me about E grade system.,what does E mean?,what does an E ranking mean?,what are enlisted rankings?,can you advance if you aren't an officer?,what does E7 mean?,How did you get your commission?,,,,,,,,,,,,,,,,,,,
Can you explain the ranking system O and numbers?,go over the O pay grades for the officers.,what ranks go with which O pay grade levels?,what are the levels of officers?,what is the highest level of officer?,what does O mean?,what does O3 mean?,,,,,,,,,,,,,,,,,,,,
What were your living quarters like in the Navy?,how are the living quarters?,are the barracks nice?,did you like living on a ship?,are the rooms cramped?,what is the quality of Navy housing?,Is Navy lifestyle similar to college?,Tell me about navy life,,,,,,,,,,,,,,,,,,,
What are common crimes that military people commit?,do the Navy personnel commit crimes?,tell me about crime in the Navy.,are crimes common in the Navy?,are military members criminals?,what illegal things do people do?,,,,,,,,,,,,,,,,,,,,,
Did you receive a monetary bonus for enlisting?,are there times you get extra money?,is there a signing bonus?,did you get a signing bonus?,do recruiters bribe you to enlist?,is money important,,,,,,,,,,,,,,,,,,,,,
Can you tell me about military retirement?,how do you plan for getting out of the military?,what do you do when you retire from the Navy?,what benefits do retirees get?,what is Navy retirement?,,,,,,,,,,,,,,,,,,,,,,
Describe the hiring process.,what is it like getting into this line of work?,how do I get a job in the Navy?,what is recruitment?,how do I get hired?,How do I start with the Navy?,How do I enlist?,How do I join the navy?,Do you have to take tests to join the navy?,Do you have to be interviewed to join the navy?,Does the navy interview you?,Does the navy test you?,,,,,,,,,,,,,,,
Describe the initial training.,what was your initial career training like?,did someone show you the ropes?,were you sent to training when joining?,what are the first days at work like?,what is it like to join the Navy?,What is the first year like in the Navy?,Was the first year hard?,,,,,,,,,,,,,,,,,,,
What is boot camp like?,did your military training go well?,tell me about recruit training?,did you have to learn to march?,what is boot camp?,is boot camp hard?,,,,,,,,,,,,,,,,,,,,,
Who do I talk to if I'm interested in this computer science?,what are good sources of information in CS?,are there people to whom I should talk about this career path?,who should I avoid talking to when considering this kind of work?,who can I get advice about CS from?,,,,,,,,,,,,,,,,,,,,,,
What is dress attire in the Navy?,can you tell me when you wear which uniforms?,what do all the uniforms mean?,do you get different uniforms as you are promoted?,does the Navy buy all your uniforms?,do you always have to wear a uniform?,,,,,,,,,,,,,,,,,,,,,
To what extent does the military adhere to tight schedules both long term and daily?,are you time constrained in what you do every day or across your entire career?,is there any slack built into your work day?,how important is time management in the Navy?,Is it okay to be late?,,,,,,,,,,,,,,,,,,,,,,
How can I request to work in a certain area or field?,how likely is it that I will get to do what I want to do?,will the Navy assigned me to something I hate to do?,can I do another job if I don't like mine?,are jobs in the Navy permanent?,,,,,,,,,,,,,,,,,,,,,,
What was the most difficult part of your training?,what is the toughest thing to learn?,what was hard for you to master?,was there a time when you had trouble learning a new skill?,what did you struggle with when joining the military?,Was it hard to learn what you learned?,what was hard for you to learn for the Navy?,,,,,,,,,,,,,,,,,,,,
What is the most difficult part of computer science?,which part of CS is the toughest to learn?,is there something about this career that is very hard to do?,what is the hardest thing about what you do?,is what you do hard?,do you have to study a lot for computer science?,do you have to study a lot?,,,,,,,,,,,,,,,,,,,,
How would you describe the work culture of the Navy?,how do you view the way you and your buddies approach your jobs every day?,do your friends enjoy what they do?,is you job filled with pressure or characterized by cooperation and camaraderie?,are you close with other sailors or soldiers?,does the Navy have a specific culture?,Tell me about navy life.,what is Navy life like?,What was the most fun you have ever had?,,,,,,,,,,,,,,,,,,
How does an officer's/non-officer's salary compare to civilian salaries?,will my pay be better or worse than that of a civilian?,what is the pay like outside the military?,will I make more or less than non-military people?,will I make more money if I join the military?,,,,,,,,,,,,,,,,,,,,,,
How significant is there a chance of being deployed?,how often do you go to sea?,will I get deployed?,how much will I be away from my family?,does everyone get deployed?,do I have to leave home if I am in the military?,,,,,,,,,,,,,,,,,,,,,
What things are there for me to do on a ship?,"if I am at sea, what can I do to relax?",is there free time to do stuff on a ship?,what kinds of break activity is there at sea?,Is a ship boring?,how do you cure boredom on a ship?,what do you do for fun on a ship?,do you watch tv or movies on a ship?,What tv shows do you watch?,How do you cure boredom on the ship?,,,,,,,,,,,,,,,,,
Why should someone choose to be a part of the Navy?,give me good reasons to enlist.,how is a Navy career rewarding?,what makes a career like yours worthwhile?,why should I join?,what is a good reason to join?,why should I join the Navy?,Why should I go into the Navy?,Are you patriotic?,,,,,,,,,,,,,,,,,,
Why should someone choose to go into CS?,what is so good about computer science?,why are computers a good area?,what is the benefit of going into computer science?,why technology?,why STEM?,Why did you choose STEM?,What made you decide that STEM was for you?,,,,,,,,,,,,,,,,,,,
What are the long-term impacts of entering computer science or STEM fields?,"how will I make a difference?
",does STEM change the world?,what mark can I leave doing this work?,,,,,,,,,,,,,,,,,,,,,,,
How do you and your work colleagues socialize outside of work?,is there a lot of friendships among your colleagues?,do you guys go drinking together?,do your work colleagues' and their families get together?,what is the social sphere like?,is work social and friendly?,how did you make friends in the Navy?,do you get along with your coworkers?,do you get along with other people in the Navy?,do you like who you work with?,How did you meet new people in the Navy?,,,,,,,,,,,,,,,,
What is the gender mix of your workplace?,how many guys and how many ladies at work?,is there a decent mix of men and women in the service?,are there many of both sexes where you have been assigned?,are any girls in the Navy?,what is the gender ratio of the Navy?,is there a gender distribution in the military?,do you work with any girls?,have you met girls in the Navy?,can women join the Navy?,,,,,,,,,,,,,,,,,
What are the ethnic percentages of your workplace?,are people at work from all races?,is there any segregation by race?,what is the breakdown of race and national origin in the workplace?,Is your work racially diverse?,Are you the only black guy in the Navy?,Did you know other races in the Navy?,Is the Navy racially diverse?,What is the African American experience in the Navy?,,,,,,,,,,,,,,,,,,
Why do people leave this field or company?,what makes people want to quit?,is there a reason that drives personnel to leave the service?,why do so many people leave the military?,what reasons are there to leave the Navy?,,,,,,,,,,,,,,,,,,,,,,
Why do people leave the CS/STEM field?,do people get tired of science?,is technology a field that keep people for a long time?,do people leave the STEM field?,what if I get bored with STEM?,What is difficult about computer science?,,,,,,,,,,,,,,,,,,,,,
"How will my relationship with my friends or family members be affected if I join the Navy, and what advice should i give them?",can my being in the Navy worry my family and friends?,how do I tell my family or parents that I am joining the military?,what should I tell my folks about the Navy?,will my relationships suffer from being in the Navy?,"being in the navy, is it difficult for you to have a relationship?",can you have a relationship in the Navy?,what do you tell your family?,will my family be worried about me?,what will my family think of the military?,What did your parents want you to do?,What do your parents think about your career?,,,,,,,,,,,,,,,
How do the educational benefits of the military work?,describe my chances of getting education in the Navy.,does the military pay for your college?,how can I pay for school and join the military?,how do I receive the military educational benefits?,is education free after serving in the miltary?,how much does the military pay for college?,should I go into the Navy for free education?,tell me about the education benefits in the Navy.,,,,,,,,,,,,,,,,,,
What is the advancement potential in the field? What is a typical path?,how do you get promoted?,can I impact how soon I get advanced?,how does advancement work?,is it common to be promoted?,,,,,,,,,,,,,,,,,,,,,,
How will my experience transfer to civilian life after my Navy tour of duty?,is this training useful in civilian life?,will this help me get a good job when I get out?,do employers like to hire veterans?,will my Navy skills transfer to civilian life?,,,,,,,,,,,,,,,,,,,,,,
What is a story that really shows what it is like being in the Navy?,"tell me a good ""sea story"" that reveals the real Navy.",is there some tale that would help me understand the Navy life?,are there experiences you have had that exemplify a Navy career?,,,,,,,,,,,,,,,,,,,,,,,
What do Navy reservists do and what benefits do they get?,what are reservists?,what is a reserve career like?,do reservists get paid and do they get any benefits?,what are the reserves?,Can I go to war in the reserves,Can I train close to home in the reserves?,,,,,,,,,,,,,,,,,,,,
What experience is necessary to become an officer?,how can I become an officer?,what do you have to do to be eligible to become an officer?,do you have to have a college degree to get a commision?,do officers have special training?,,,,,,,,,,,,,,,,,,,,,,
How do you get good feedback?,can you tell me what to do if I get a chief or officer who is not helping me?,how will I know if I am doing a good job?,will others help me evaluate what I am doing right and what I need help with?,how can I make sure to get good feedback?,How do you handle supervisors who were unable or unwilling to give you feedback?,,,,,,,,,,,,,,,,,,,,,
What are the most important decisions that you faced as a leader in your organization?,tell me about tough choices you have had to make.,what kinds of command decisions have fallen into your lap?,"do you have to make critical decisions and, if so, what kinds?",what major decisions have you faced in the military?,,,,,,,,,,,,,,,,,,,,,,
Who gave you the best advice about your life?,Who is your life mentor?,what person do you rely on for life advice?,what is the best piece of life advice you've gotten?,,,,,,,,,,,,,,,,,,,,,,,
What is the most important lesson about life you have learned?,what is the best advice you can give about life?,what important things can you tell me about life?,what is the most essential thing you know about life?,,,,,,,,,,,,,,,,,,,,,,,
What do you think is really important in life?,what matters in life?,what really makes a difference in life?,what is central to your philosophy and approach to life?,how do I live a good life?,,,,,,,,,,,,,,,,,,,,,,
What problem are you looking to solve?,What are you trying to fix?,What problem are you solving?,,,,,,,,,,,,,,,,,,,,,,,,
How and where do you find inspiration?,Why are you inspired?,Where does your inspiration come from?,What inspires you?,How are you inspired?,Where does your inspiration come from?,,,,,,,,,,,,,,,,,,,,,
"How often do you ever get in a ""state of flow"" when doing your job?","Do you get in ""the zone"" at work?",Do you reach a flow state when working?,Do you ever get so focused that you forget about your surroundings?,,,,,,,,,,,,,,,,,,,,,,,
What makes you proud?,What are you proud of?,What would you want to show off to others?,Are you proud of your work?,,,,,,,,,,,,,,,,,,,,,,,
What keeps you up at night?,What worries you?,What are you concerned about?,What do you lose sleep over?,What problems consume you?,What thoughts prevent you from sleeping?,what do you think about?,What is the first thing that you think of in the morning?,,,,,,,,,,,,,,,,,,,
Whom do you see as the main beneficiaries of the work you do in computer science?,Who does your work help?,Who benefits from your work?,Who uses what you create?,Who are you helping?,Who sees the results of your work?,,,,,,,,,,,,,,,,,,,,,
Why are you motivated and inspired to go to work as a programmer?,What motivates you as a programmer?,What inspires you as a developer?,How are you inspired to code every day?,How do you stay motivated to program at work everyday?,Why are you motivated to be a software engineer?,How do you reward yourself?,,,,,,,,,,,,,,,,,,,,
How did you manage both career and personal life effectively?,How do you balance your home life and career?,How do you handle personal and work life simultaneously?,How would you suggest keeping an effective balance with work and life?,How do you balance work and play?,How do you balance work with everything else?,Is it difficult to manage work and live a healthy lifestyle?,,,,,,,,,,,,,,,,,,,,
How strongly would you recommend this profession to others or to me personally?,Would you recommend your profession to others?,Should I go into the same field?,Should I pursue the same career that you did?,Do you recommend your career to others?,Is your career worth recommending?,Should others pursue your career?,Should i go into STEM?,,,,,,,,,,,,,,,,,,,
"If you could change one thing about your job, what would it be?",What would you change about computer sciecne?,What do you wish was different about computer science?,What changes would you make to the computer science field?,How would you modify your job if you could?,What is bad about computer science?,What sucks about CS?,Is there anything bad about computer science?,,,,,,,,,,,,,,,,,,,
What is STEM?,What does STEM stand for?,What do you mean by STEM?,What does STEM consist of?,What does STEM mean?,Tell me about STEM.,what is the full form of STEM?,,,,,,,,,,,,,,,,,,,,
What STEM positions are available in the military?,What STEM can I do in the military?,What STEM opportunities are there in the military?,Are there STEM positions in the military?,How can I do STEM in the military?,What are examples of STEM careers in the military?,,,,,,,,,,,,,,,,,,,,,
What are the benefits of your STEM career?,What benefits does your STEM career have?,What benefits did you receive in your STEM career?,What perks come with a STEM career?,What benefits do STEM careers offer?,,,,,,,,,,,,,,,,,,,,,,
Who do I talk to if I'm interested in this field?,Who should I ask for advice?,Who will know more about this field?,Where can I find more information about this field?,Who is the best person to speak if I want to know more?,Who do I look to if I want to know more about this field?,Who is a good person to ask about this field?,,,,,,,,,,,,,,,,,,,,
What is the difference between working in the public vs private sectors?,Should I work in the public or private sector?,What are the pros and cons of working in the public versus private sector?,Is the private sector better than the public sector?,What differentiates the private and public sectors?,Public or private sector?,What does it mean to work in the public or private sector?,,,,,,,,,,,,,,,,,,,,
What is your favorite coding language and why?,What coding language do you like the most?,What is your favorite language to program in?,Do you have a favorite coding language?,What is your preferred programming language?,what is your favorite programming language?,do you have a favorite coding or programming language?,what language do you like to code and program in?,what coding language are you the best at?,What computer languages do you know?,,,,,,,,,,,,,,,,,
