Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
"Advice, Challenges",,dandavis,What advice do you have for people who are being bullied in high school?,"There were a couple of problems going through any group there are bullys in every group and the bully will always target the people who he thinks he can bully the easiest this makes it tough on everybody I've never been on the aggressive fighter never been particularly athletic so I've been the target of a lot of bullies in my life. You know it's hard to put up with it but hardly ever fatal or hardly ever leads to any kind of permanent injury, I think organizations should be alert to bullying and take care of it better, but for individuals I think the best thing to do is just look inside yourself, think about what's bothering you think about whether it really matters, often the bully is relying on the fact you'll be embarrassed to have been pushed around by somebody and if you don't care I can laugh off or make a joke about it often they'll go away and leave you alone god help you if you've been bullied if I'm around let me know I'd help you to.",how do you handle tough guys?,is there a way to stand up to mean people?,Did people bully you in high school?,Have you been bullied in high school?,What was high school like for you?,Are there bullies in the military?,Do bullies effect you negatively?,How to handle bullies in school?,,,,,,,,,,,,,,,,,
"Advice, Challenges",,dandavis,What were some of your fears entering college?,"I think you should be prepared to go to college and I don't think I was very well prepared college I had very few instructors who drove me to do the kinds of work I was able to do I think to some degree a lot of the instructors I had a high school weren't aware of the kind of work I could do, so I think it's kind of difficult to say what you need to do to get ready to go to college but I think the most important thing is you have to learn to think not just regurgitate what you've been told, but think and analyze think and analyze argue it out with your friends take a position that you don't even like and see if you can convince them your position is correct and learn to write an articulate your ideas.",What were some of your fears entering college and your career?,Did you have fears going into college or your career?,What were you afraid of before you went to college?,Were you worried about anything when you were entering college or your career?,What concerns did you have prior to entering college and your career?,What were you fearful of before beginning college and your career?,Do you feel prepared to start college?,,,,,,,,,,,,,,,,,,
"Advice, Skills",,dandavis,What are the most important things on a resume?,"The importance of resumes so often discussed and I'm not so sure that it is that critical frequently people analyze resumes and try to say you should emphasizes this deemphasize that, but I think once you get the basics down make sure you list all of your qualifications what your record is, everything is provable and you can stand by it think that's about what you wanna do you wanna may spend some time on a cover letter that goes with the resume but by and large I think you know people are not looking for something on a resume that will select you they're looking for is a lack of something on a resume that'll keep you from getting selected and that's things like we need a guy with a bachelors degree and this guy doesn't have a bachelors degree so as long as you can meet the qualifications are looking for and I think the quality of school you went to make a lot of difference if you get an opportunity to publish a paper was somebody make sure you do that and then you have that put on your resume as well I published A, B, and C article and such and such a journal and that looks good.",What should be included in a resume?,What are some of the things that must be on a resume?,What can I not afford to exclude from my resume?,How should my resume look like?,What is needed in a resume?,What qualifications are important?,What should I do to get a better CV?,,,,,,,,,,,,,,,,,,
"Skills, Resources, STEM",,dandavis,Where can I find an internship that will give me skills for the engineering field?,If you're looking for an internship I think one of the best places to work is to go to your counselor either and I school or college and ask them if they've got a good list of local internships are available other than that you know the firms in the schools that are close to you doing research in like and do you should you know get on board with them that do a Google search or Yahoo search or whatever search engine you life and and start looking for internships in your area not relying on your counseler you want to ask them don't don't just accept everything they say a little searching all help and if you know a professional in that field you might ask them who in your field gets good internship how to get a hold.,Where can I find relevant internships?,Where can I find apprenticeships in engineering?,Where do I look for internships?,Where do I find engineering internships?,Where can I look for internships in engineering?,How do I get an internship?,How do I become an intern?,Are there lots of internships?,,,,,,,,,,,,,,,,,
"Advice, Fit",,dandavis,What do you advise me to do in picking the right career field for me?,"When it comes to picking the right career field there are two important things listen to this is the most important they'll say to you all day two important things first know whom you are know who you are what do you love to do, say well I love to play video games nobody's going to pay me to do that, what does it mean? I love to work with computers. I love competitiveness. I love trying to achieve things. I love working inside. You know there break down what it is you really love to do. Every day I do it every day, I love it everyday I never get tired of it I can't go to sleep at night because I enjoy I love writing English. I love writing code. I love doing mathematics. Omar Bradley general Omar Bradley in World War Two when the war was about to overcome him swamp him was pressure he would do calculus to relax there's a guy who's loved calculus so figure out where it is you like to do and figure out the broad area what you like to do I like to be with people I like to talk I like to be alone I'd like to work with numbers you know get that then figure out what field does that what field us at every day not what they show on the movies not what they show in the movies the movies and TV have a caricature of real professions are like, quick example if I say lawyer to you ninety percent of you will think of a guy standing in front of the jury saying, ""My friends, my clients are   innocent"" lawyers spent less than one percent of their time arguing to a jury there was the time they're in offices interviewing people interviewing witnesses or writing documents or doing research in books you know that's a completely different life than what they show on TV so get a hold somebody who does this for a living and ask them what do you do during the week every day you go to work what is your day like and if that's something you enjoy doing then that's the right career feel for you.",tell me how to make the best job decision?,can you help me pick the right career field for me?,how can I be sure I am doing the right thing?,What advise can you give me that can help me in picking the right career field?,how do I pick the right career field?,When did you switch from nuclear tech to computer science?,How do you know which is the right career field for you?,,,,,,,,,,,,,,,,,,
"Advice, Fit, Motivation",,dandavis,How do I find what I love to do?,if you're looking around for something you really love to do I think a best way to fight it is to think what do I do when I go home tonight what will you want to do if everybody just leave me alone what what I want to do but I want to be with a friend want to be with the big group of people well I want to be all alone what I want to read what I want to watch a movie on TV what I want to go out to the mall and be with thousands of people around what do I want to do what do I enjoy doing everyday what can I stand the thought of doing what is so terrible don't make me do that what one more time I'll kill myself you know look at who you are and then that will tell you what you want to do that will tell you what you want to do then find a career feel that does that and carefully study that group feel the make sure that crucial does,How can I find what I am passionate about?,How to find what I love to do?,What are some indicators that I love something?,How do I find my passion?,Tell me how to find a passion.,I don't know what I want to do.,How do I find a career I will love?,,,,,,,,,,,,,,,,,,
"Advice, Challenges",,dandavis,What should I do if I don't know what job I want to do?,you may be wondering what you should do if you're uncertain about the future that's a toughie I remember when I was a high school junior I really didn't have any idea I don't want to go to college because everybody's going to college go to college I certainly never thought I want to be a cripple logic officer yeah I never thought I want to be a lawyer I want to be an academic and study high performance computing I never thought so I don't know what do you do if you have no draw I've do you know what you want to do just get a broader taste of life is you the military will give you a very broad taste of life and they give you to select like you did me putting me in cryptology that I never would've thought up but they said we figure because I was good at and what so get a broad taste of life I think that's a critical one last quick war story my eldest brother from the tiny was in junior high school wanted to be a veterinarian anyone to work on large farm animals and he wanted to work in a small town in the rocky mountain somewhere didn't care where the rocking that's all I wanted to so I went to the university of Illinois and got a degree and he went to the university of Illinois better in medical school and got a degree it's harder to get that that's cool Illinois than it is in the medical but he wanted to do that and they went to Wyoming and he became a large animal veterinarian in a small town we will Wyoming in the Rocky Mountains Andy hade he hated it anyone any good he was he was a good veterinarian anyone any good lovingly better day investments because running the veterinarian business is ninety percent being a salesman in being nice to people and being friendly and being people kind of a jovial guy that everybody got along he hated five years later quit and he went to work for a bunch of large firms that did research and better medical products and before you know it he lived in New York City on the East River doing basically legal work getting legal registration for better a medical drugs around the world after drug got registered in the U. S. to treat hoof and mouth disease that he'd go around the world if the other come countries to them recognize our rights to yeah he was basically a lawyer yeah that's what he did the rest of his life and he hoped it was fun exciting travel yeah completely different than what you want so you know what you want to do right now may be way off base,I don't know what job I want. How do I solve this?,can you help me if I don't know what to do?,I'm stuck in selecting my career path. Can you help?,What should I do if I don't know which job would suit me best?,I’m wondering what I should do,Is it bad when you don't have a fixed plan for your career?,Is it necessary to have a fixed plan for your career?,,,,,,,,,,,,,,,,,,
"Resources, Advice, Mentor, Decisions",,dandavis,Who are the best people to talk to when making a career choice?,as you're making her choice number people you wanna talk to my experience has been people who really should be the best you will talk to frequently let you down the vice I got from high school counselors from I was not productive and in retrospect the people I should have been talking to our professionals in the field I should have talked to people who did it for a living and said what is this work like and that would have been a good thing to do is talk to people like that the other thing good to do would be to talk to somebody who does not have a dog in the fight a military recruiter frequently has on his recruiting criteria the people he needs to recruit this month so he may try to talk you into being in a field that you really heart right for but it's gonna satisfy us to be careful about that but by and large the best people to talk to are the people who are in the field and try to find people of fields we love it and those who hated because they'll give you two different stories and you really need both stories before you can make a choice,who should I talk to first?,what kind of people are helpful in assessing where I belong?,where should I go for career advice?,Who can advise me in making a career choice?,Who are the best people to consult when making a career choice?,How can I get help choosing a career?,,,,,,,,,,,,,,,,,,,
"Advice, Background",,dandavis,What is one piece of advice that you wished you had taken?,looking at the best piece of advice that I got and did not take in retrospect is harp hurtful thing to be because my eldest brother came to me when I went into law school and said whatever you do do not practice law with our dad he said that's not gonna work out well I convince myself that that was not true it would work out and I practiced with dad for ten years not a good results and when he passed away wasn't six months later I left the practice of law then going back to computer research,what's the best thing anybody told you that you wish you'd listened to?,is there some piece of advice you wished you'd used?,did you ignore something you now know would have been useful?,What is one advice that you ignored?,Is there advice you ignored that would have helped you today?,do you have any regrets?,do you feel like you have missed out on anything?,"You're still pretty young, do you miss the action?",,,,,,,,,,,,,,,,,
"Advice, Background",,dandavis,What is one question you wish you had asked earlier?,number of things in my life we should not happen in a question I wish I had asked earlier was I wish that as someone in whom I had trust what are the indicia imminent failure and academic pursuits what should I look for that tells me now's not the time to continue to pursue schooling because I stayed with my first two years of college I stayed with it at least one year to the law and somebody along the line should of told me don't give up on going to college but you need to postpone it anti get your head screwed on straight and I never ask anybody that question and nobody ever offered me that implies and I basically wasted two years of my life digging a hole that they later had to fill in a whole lot of effort just give me back up,what did you wish had found out earlier?,What is one question you never asked?,What did you never ask but wish you had?,One question you wish you had asked before?,Is there something you wish you had asked earlier?,Is there any question that you wish youhad asked earlier?,What is one question that you should have asked?,,,,,,,,,,,,,,,,,,
"Advice, Failure, Future",,dandavis,What is the most common mistake you see people make when making decisions about the future?,we all come into the world with the notion about who we are welcome in the world with the notion about what's going on around this I don't think any of us early on has to face the really definitive issue of critical thinking we like to believe was gonna make us happy with white to believe that things can work out alright or optimist by nature by Darwinian selection we've become often and we don't really ask the hard questions why is this a good place what could go wrong what are my chances of succeeding have in mind actually qualified enough to do this I knew tons of guys when I was going through college who are committed to going to medical school but to get in the universe Colorado medical school you had the past two semesters of calculus and some of them did not have the right wiring in their brain to do calc they just couldn't do and so somebody they should have done some critical thinking with those P. to say look if you can't do calculus you want to be in the medical field maybe you should do something different maybe should be a clinical psychologist or maybe you should become a radiology technician or something else so you can do the work or become a male our inner female are in you know the other things you can do besides being an MD if you want to do this hello corpsman in the navy or a medic in the army but but you know we all want to fantasize about who we are and who are going to become and without asking the hard questions what is it do I fit can I make myself into that mold our largest you know like that appealed,what mistakes should be avoided while making future decisions?,tell me things to look out for before making future decisions,what should i look out for before making future decisions?,,Are we all welcomed in this world?,Do you feel you think critically?,,,,,,,,,,,,,,,,,,,
Background,,dandavis,What's your favorite movie?,you know questions like what's your favorite movie or your favorite color or your favorite person always struck me as kind of strange I have a huge number of favorites and I can't say that I prefer you need to one till all the rest of them combined overrode individually it's kind of hard to respond to only say this about movies you would guess being a military historian I love movies like Patton became mutiny Tora Tora Tora das boat these are all wonderful movies that tell me something about what combat is like it was like to be in those particular wars but but you'd probably be surprised at some of the kind of trivial movies I enjoy one of my favorite movies for instance is the old movie worth Carl Reiner and Brian Keith Alan Arkin Jonathan winters just a host of people for rescinded host of other people called the Russians are coming the Russians are coming about a straight a Russian submarine in New England island so those are some of my favorite movies but if you want to find out more you can always go to my website online I've got a whole section on movies in those I like in those and out like in those who are important to me and some that I like that I don't think anybody else in the world like so that's kind of a more general answer,What's your favorite movie of all time? Why?,is there a movie you really like?,What is one movie that you love?,Do you have a favorite movie?,What movie do you love?,Your favorite movie?,,,,,,,,,,,,,,,,,,,
"JobSpecific, Challenges",,dandavis,What's the most challenging part of your job?,"All the jobs I've had, had some kind of challenge involved in them. Those challenges range across the whole spectrum of human endeavor. Sometimes the challenges are intellectual- understanding high level mathematical concepts involved in practicing law or new high performance computing research, or in the military, decrypting the varying kinds of communications can be challenging in a way. But I think that things that stick out most in my mind in terms of challenges are working with people- the most challenging thing you have to do is learning how to work most effectively with the team and make sure the team remains cohesive and goal directed. And if you can do that you can overcome virtually everything if you lose either cohesion or goal direction, then the team is just treading water and the morale goes in the tank and the danger goes up. So to me the most challenging thing is optimizing people and the team.",What is the most challenging part about your job?,what do you do that is difficult?,Is your job tough?,what's the worst thing about your job?,What do you not like to do?,What do you hate doing?,Was there ever a time you hated your job?,What did you hate about being in the Navy?,what is the biggest challenge you've had in the Navy?,Was there ever a time when you hated your job?,,,,,,,,,,,,,,,
"Challenges, Military",Navy,dandavis,What is the biggest barrier to entry in this field?,"In both the fields in which I work in my life the biggest barrier to entry is intellectual capability. The marines in Vietnam were very proud of the fact that isn enlisted men in cryptology, our test requirements were higher than the test requirements for people who wanted to go to officer training school and become officers, so that was one level. The second level was the clearance a lot of young people growing up having a good time sowing there wild loads, you know what everybody's doing it too, and a lot of them wind up with something on their record that will prevent them from getting a clearance in the future. It's true when I was coming through this line of work and it's still true today and it's true to some degree about academia as well. You know you you need to have a good record of accomplishment and not a record of misbehavior.",what would keep me out of this line of work?,is there something that keep people from being able to do this?,what is the hardest thing to master before you can get in this field?,What do you have to discipline new cadets most on?,what is hardest for new recruits to learn?,what is difficult to adjust to when joining the Navy?,,,,,,,,,,,,,,,,,,,
"Motivation, Background, Military",Navy,dandavis,How did you become interested in the military?,"My interest in the military's been with me for my entire life. I came from the family that started out in the military to some degree my father was in World War two when I was born. He was a navy officer and was working with Strangelove PT boat engines, another technical field. He was an officer in the in the spotlight core and was procuring PT boat engines. My eldest brother was in the Korean War briefly and my youngest brother did twelve years on submarines as a submarine officer. So there's always been an interest in the military and I can remember early in grade school being interest in reading books about the military. Not serious tones there was an author called Fletcher Pratt who wrote a lot of stories about the military, historical books, not really about the military but aimed at young people",What got you into this job in the Navy?,how did you come to want to do this?,Did you always want to be in the military?,How did you you become interested in the Navy?,Did you always want to be in the navy?,What got you into this job in the military?,,,,,,,,,,,,,,,,,,,
"Motivation, Background, STEM",,dandavis,How did you first become interested in (your STEM field)?,"From the time I was in junior high school is very interested in electronics, so I mastered electronics back when the lot of electronics were still tube orientated, long before transistors. And then we got into transistors and I was interested always through, and when they got in the military I got into a line of work that involved a lot of technology, that is cryptology. I worked with a lot of electronic gear- maintaining and repairing and optimizing as we went along. So that was very useful to me. When I got out of the military I when I first started back in college they were offering some introductory courses in computer programming and this was brand new in computers because there were those times kinds of things before that. But when I got out of the marine corps went back to university of Colorado where the first courses I took was a course in fortran four and I was writing programs on one of Seymour Cray's early supercomputers, a CDC five hundred and I've been interested in computers ever since.",How did you become interested in this type of work?,What got you into this job?,how did you come to want to do this?,Did you always want to be in this career field?,How did you you become interested in the Navy?,How did you first become interested in computer science?,How did you first become interested in cryptography?,,,,,,,,,,,,,,,,,,
"Motivation, Background, JobSpecific",,dandavis,Why did you choose this career path?,"Many people in life choose a career early in their life my oldest brother in high school decided that he wanted to be a veterinarian and have a large animal veterinary practice in the small town in the rocky mountain west. He grew up in Illinois went to university of Illinois got a degree in chemistry, then got admitted to veterinary medical school which in Illinois is harder to get into the medical school is and got a DVM and became a veterinarian moved we will Wyoming and lasted exactly five and a half years. He hated it, he couldn't do it he was there that he was a wonderful veterinarian but he wasn't good at the the personal part of being a veterinarian. So he left that and went to work for a number of large organizations that were doing research and he wound up not only doing research, but he finally wound up living on the east river in New York City working for two different large firms- Pfizer and Ciba - doing drug registration internationally. So when the new drug was produced by one of those firms for veterinary use, he would go to these foreign countries and figure out how to get the license so it can be sold there. So basically what he wound up doing was something was more legal work than veterinary medical work. How did I choose my career, unlike my oldest brother I just kind of waltzed into it I got picked for cryptology by the marine corps and loved it. I practiced law with my dad for a few years did like that very much. Went back to academia and I've loved it in academia. And I'm in academia largely because the navy reserve buddy of mine no what have you once said what it's going to work for us it might merit in doing research and that's where I got started with Martin Marietta and then I got hired by Caltech, fom mark Marietta. So sometimes life just takes care of you and it certainly took care of me",Why did you choose this career?,tell me why you are in the navy.,did you choose the Navy or was it forced on you?,why are in your current job?,why did you take this career path?,How did you choose the Navy?,what went into choosing your career in the Navy?,why did you join the navy?,was the Navy your first choice?,How did you decide to join the navy?,Why did you choose the military?,Why did you choose the Navy?,How did you decide you wanted to go into the navy?,What is your job today?,why did you choose your current job,,,,,,,,,,
Background,,dandavis,Are you happy with your career?,"I frequently say that god treats me better than I deserve. It is certainly true I've been happy with virtually every career ahead except for practicing law. My time in the service were the best years of my life. The absolute best year in my life ever was my year in Vietnam and my time and academia has just been a riot, I do enjoy it, pay has been decent, I've raised a family, educated three daughters and I when I go to meet my maker I will be in full thanks for the life he has given me",Are you happy with your job?,Do you like your job?,Are you satisfied with your work?,How content are you with your work?,Do you enjoy doing what you do?,Were you happy with your career?,do you enjoy being in the navy?,do you like the Navy?,do you like what you do?,,,,,,,,,,,,,,,,
Background,,dandavis,"When you were a kid, what did you want to be when you grew up?","you know if one of the things that people free will ask a child is when you want to be when you grow up in most kids have a ""I want to be a firemen"" or ""I want to be Superman"" or you know. For the life of me I can never remember anybody asking me that question and for the life of me I cannot remember that I ever wanted to be much anything. My life it's just been a matter of, ""I just like to be with people"" and I like to try to get along and I like to have fun and I've been able to do all those things every place I've been, and so I don't think I've ever wanted be anything other than in than a part of a group",did you dream of doing a job like this?,did you have dreams of being something else?,do you remember what you used to think you wanted to do as an adult?,What was your dream job when you were a kid?,Did you have a dream in your initial years?,What was your childhood dream?,Did you accomplish your childhood dream?,,,,,,,,,,,,,,,,,,
Background,,dandavis,What sports did you play in high school?,"You know I think of the things that's true about high school is, when it comes to athletics there is a focus on the top ten percent of the class that is really good at some athletics. The varsity team players and not much else. I'm not particularly athletic and so there were no sport I particularly cared for. I played a little basketball because I'm tall and six six, but I can't run so I didn't like that very much didn't play the other team sports and so they just drift through life. As a young adult I found out about volleyball turns out and I'm a very good volleyball player. I even got accused of being a semi pro once during a volleyball match in the navy. So I can't say I'm very good at anything but I certainly did enjoy volleyball and if I was in charge of the world, I would change the way we do athletics in high school. I'd try to help everybody find a sport in which they could excel and play with joy instead of just paying attention to the varsity athletes and everybody else has to do calisthenics.",were you an athlete in high school?,were you ever on sports teams before coming in the Navy?,what sports did you like to play?,are you athletic?,what did you do in high school?,did you do any activities or extraurriculars in high school?,Were you into sports in school?,,,,,,,,,,,,,,,,,,
Background,,dandavis,What is your favorite color?,"There's a series of questions about favorites that always kind of puzzle me. And the one the puzzles me the most is what is your favorite color. I don't have a favorite color, I can't imagine you would have a favorite color. I like combinations of colors I like all colors. Some colors look better sometimes than other colors. So favorite color doesn't makes sense to me, I guess that's a gene I got that I'm missing the ability to have a favorite color because most people will come up with something, and I just I don't know what to tell you about favorite colors",do you have a favorite color?,do you have any color preferences?,"other than Navy blue, what colors do you like?",Which color do you usually prefer?,Is there a color that you really like over the others?,,,,,,,,,,,,,,,,,,,,
Background,,dandavis,Are you married?,"When I was in language school in Washington DC, I was taking Vietnamese and the Vietnamese all spoke French as a second language and they preferred French because French is a much richer and and intellectual language than Vietnamese. Vietnamese is an agricultural language and doesn't have a lot of subtlety to it, so they all spoke French. So they hired a young woman who had just gotten a degree in French from the university of Maryland to speak French to the Vietnamese and she was almost six feet tall, and as I was six six my marine corps ""oh that one's yours, Davis"". So we corresponded, everybody else got dear John letters in Vietnam, all I got was chocolate chip cookies and one bottle of wine she smuggled through the mail to me, that worked out pretty well. So when I got out I married her and this last August we've been married forty six years.",have you got a spouse?,are you single?,do you have a wife?,are you in love?,do you have a girlfriend?,are you in a relationship?,do you date?,do you have a significant other?,how many times have you been married?,Do you have a significant other?,Do you have a girlfriend?,Do you have a boyfriend?,Do you date?,"Being in the navy, is it difficult for you to have a relationship?",Do you have any kids?,do you have a lover,,,,,,,,,
Background,,dandavis,Do you have siblings?,"I grew up in the nuclear family of a father who was a lawyer, a mother who ran the beauty school, and three brothers. My eldest brother was twelve and a half years older than I was, and recently passed away. He was a veterinarian and worked for large drug companies most of his life. I had a brother just took two and a half years older than I was, he has an MBA from the university of Chicago and worked at a drug company in Illinois - Abbott laboratories - doing management for his entire career. And then I have a younger brother who is five and a half years younger than I am, who went out to the ROTC program at Duke University and was a naval sub officer for twelve and a half years until his wife told him ""if you go to sea one more time I won't be here when you come back"", so he quit after twelve and a half years as Lieutenant Commander",do you have any brothers or sisters?,how many kids in your family growing up?,are you an only child?,how is your relationship with your brother or sister?,How many siblings do you have?,Tell me something about your siblings?,,,,,,,,,,,,,,,,,,,
Background,,dandavis,What is your favorite food?,"I'm six feet six inches tall so there's no food in the world that I don't like. I didn't get this tall not eating I can tell you that for sure, so I like food in general. So my favorite food I guess if I had to pick would be a lobster, because traditionally that's what I've always liked and when I really want to celebrate something I go get a lobster. So but I like all food virtually speaking",what do you like to eat?,what is your ideal meal?,do you have a favorite dish ?,what is you preferred cuisine?,Do you like chinese or italian?,Are you a foodie?,Do you like deserts?,,,,,,,,,,,,,,,,,,
Background,,dandavis,What is your least favorite food?,"At two hundred thirty five pounds it's hard for me to think that I have any least favorite foods. I like eating even though I'm six six, two thirty five is a little on the heavy side but I eat almost everything. Least favorite probably could steamed vegetables almost any kind. I love raw vegetables but once you cook them and they get kinda soft I don't like them much anymore. And the food I never would try or the Philippine balutes, a balute is fertilized egg with the fertilized embryo inside, so little unborn baby chicken, the egg they ferment until it's half rotten then eat it. They're wonderful I never have had one but given the opportunity I think I'd probably pass",is there anything you hate to eat?,what food makes you gag?,what food do you hate?,Do you have cucumbers?,is there any food that you'd die but rather not eat?,Do you have food that you really do not like?,Is there any dish that makes you go Eew?,,,,,,,,,,,,,,,,,,
"Military, Lifestyle",Navy,dandavis,What is the food like in the military?,"You know where things always heard growing up was army food is terrible that people complain about army food all the time. So yeah in the marine corps and I started getting the food the food was great. Jeez, I've really enjoyed the food they fed me. People in boot camp gain weight the food was so good, of course that was put on muscle not fat but it was good and I liked it. Then when I went to Morse code training I went to navy base the food down there was wonderful. I mean was was good and plentiful and healthy and I enjoyed it. And then I went to language school was on a navy base we had good food up there too, and that that was alright. And then I went to my first army base, and the food was... We were in Vietnam and the food was not so hot. And then the first year came and new year's day they give this roast beef and everybody who eat roast beef new year's day in the army Chow got some terrible ill and I ate roast beef and I was sick as I ever been in my life. It was terrible, I mean a whole group of us in my watch section were so sick except the guys who for one reason or other had not eaten the roast beef. But they can be forgiven that was a combat zone, so what do you expect. So then I went to Thailand and because the way the watch section was going, we we usually ate hamburgers in the club or we went downtown Thailand and ate. We didn't eat in mess hall very much. And then everybody in the base start getting sick and they couldn't figure iut what it was, and the CO was going to cancel liberty because he said ""you're getting sick from going down and eating Thai food"" and somebody pointed out to him ""you know the guys who don't eat in the mess hall and the guys who didn't get sick"" I didn't get sick and they found out that the mess cook can't overlook the fact that the Thai workers in the scullery had decided that it was too hot in there, but if you turn off the steam valve to the steam sterilizer for me in the room a lot cooler. So with that kind of a lukewarm temperature trying to do the sterilization, people got very ill. So that was another army base so maybe it's just army food, but the other food I had was wonderful",how is Navy chow?,are the mess halls good places to eat?,can you eat well in the military?,is there healthy food in the Navy?,how is the food?,how's the food?,what is the food like?,is Navy food good?,,,,,,,,,,,,,,,,,
"Recognition, Military, Jargon",Navy,dandavis,Do you shoot guns?,"When I was in the sixth grade we moved from Illinois where I grew up to Colorado springs. And so from the sixth grade through the end of college I was a native of Colorado. In Colorado there was a lot of empty space for shooting and so I have shot in the hundreds my entire life. Small game big game birds and the like. So I am in inveterate a shooter one of my best buddies in high school hand loaded his own ammunition for a big bore rifle so we fired big bore rifles all the time. In the military I was allowed to fire tremendous number rounds for qualification in practice, and in Vietnam I was in the M16 machine gun or so I got to test fire that machine gun and and burned up a lot of ammunition through that. So I have a shot still like to shoot but I live in Los Angeles now so don't get much opportunity to shoot much anymore even though I still have a number of weapons",how often do you get to shoot guns?,do you fire rifles in the Navy?,does everyone use guns?,Have you ever used guns in the Navy?,Do you have a revolver?,Can you shoot in the military?,Have you ever shot someone?,Are you a sniper?,,,,,,,,,,,,,,,,,
Background,,dandavis,What are the ribbons/awards that you've gotten?,"Whenever you dress uniform you see above the left breast pocket the the series of ribbons that are typically the top band of the ribbon that holds the metal that goes with that particular honor, and those ribbons tell a lot about who you are and what you've done and where you've been Because I am a cryptologist and not a hero, the senior ribbon that I have is the marine corps good conduct medal which means I did my job and didn't cause trouble. I had the national defense medal which means I was in the armed forces during the Cold War. I have the Vietnam service medal of which means I did a year's tour in Vietnam and has little stars honored for each campaign I was part of, I have 4. Then I have a couple of medals for the travel and oversee studio I did when I was a reservist, a ribbon that indicates how much time I did reserve duty, and then I have three awards from the Republic of Vietnam civic action metal, the gallantry cross medal, and the Vietnam campaign medal. And they were given to me because of the units I was in in Vietnam, and then I have one last ribbon which is the US navy expert rifleman ribbon, a permanent one because I fired experts three times and once you do that they think if you're that good you you don't have to keep five",which medals did you earn?,what recognition have you gotten?,what did you do to earn your decorations?,have you gotten any awards for your service?,what are your military acheivements?,Have you ever been honored in the military for your achievements?,What are some of the accolades that you have received in your service?,,,,,,,,,,,,,,,,,,
"Military, Culture, Background",,dandavis,Do you have any tattoos?,"For a guy who's been in the navy and the marine corps you might find it interesting that the tattoo I have is not at all exotic or exciting. I have only one tattoo, I have a teeny weeny little dot right in the middle of my sternum here I had non Hodgkin's lymphoma that required radiology treatments and they tattoo a little dot right in your chest so that they can get the exact angle for their X rays every time and focused on that target. And that's the only tattoo I have teeny little black dot right there",do you like to have tattoos?,did you ever get tattooed ?,are tattoos common in the Navy?,what tattoos do you have?,show me your tattoos.,Are tattoos popular among the folks at the Navy?,Is it common to have tattoos in the Navy?,,,,,,,,,,,,,,,,,,
"Military, Travel",Navy,dandavis,Did the Navy give you a chance to live overseas?,"When I was in the military got a chance to go overseas quite a bit. I did a year in Vietnam. And during that year in Vietnam I was given the opportunity to do two R and Rs. Rest and relaxation, and those were one week tours, one to Australia and one to Japan. Then when I went back to the states almost immediately I was given opportunity doing augmentation tour to help out the army linguist who were stationed in northern Thailand a place called Udorn Tanay, just south of Vientiane Laos. And so I was put on a plane and we flew to Taiwan, and we flew from Taiwan to Hong Kong, and we flew from Hong Kong to Bangkok, spent a couple days in Bangkok, and then flew up country to Udorn Tanay, where I spent three months and spent quite a bit of time out on the economy, that is traveling around locally in Thailand. And one day we got a special opportunity to go up to the Mekong river and sail up and down the Mekong river on one of the motor boats run up and down the Mekong. When they got in the reserves most of my duty was stateside but I had six tours overseas. One of those tours was Naples Italy where I spent almost three weeks doing augmentation tour. I spent two weeks in London, I did another two weeks in London and then spent three tours in northern Japan, Northen Honshu in Japan at a place called Misawa. So I've been overseas quite a bit, also spent about a week in Okinawa coming and going to Vietnam. Have not been station other than that overseas",have you been assigned overseas?,have you been able to live abroad?,has the Navy moved you to different countries?,Have you ever travelled overseas for work?,Did you travel outside US for work?,Were you ever posted outside United States,Have you travelled to other countries for duty?,,,,,,,,,,,,,,,,,,
"Military, Risk, Culture","Navy, Negative",dandavis,What are common crimes that military people commit?,"Crimes the military almost identical to the crimes you find in civilian life but the level of crime criminal activity is much reduced. It always is amazing to people to find out that the murder rate for instance in Vietnam was almost nonexistent. Everybody had a weapon, everybody had a weapon with ammunition, everybody was had orders to carry the weapon with ammunition all the time, and yet they did shoot each other. The few murders that happen in Vietnam were fraggings, that is throwing a hand grenade in to somebody, usually a senior officer, or enlisted person. And a lot of that was racially motivated. So the crimes are not that different than the civilian life but they they're less of them probably because people with really serious criminal activity are not allowed to enlist. Then you have the additional crimes that you don't have in the military that do make up a lot of issues in the military. UA, unauthorized absence. Awol, you know stay out too long without leave, desertion, you know all those things that come about and are already crime in the military that do make up a lot of the activity in the criminal justice",do the Navy personnel commit crimes?,tell me about crime in the Navy.,are crimes common in the Navy?,are military members criminals?,what illegal things do people do?,What kind of crimes do people usually commit in the Navy?,Are crimes common in the Navy?,Do you find officers commiting crime in the Navy?,,,,,,,,,,,,,,,,,
