Topics,Helpers,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Background,,How did you get into archery?,"I got into archery based on the fact that I was kind of a geek when I was growing up. I used to play Dungeons and Dragons and you know that they're like these warriors and elves and my favorite character was like, a ranger, so he always had his little helper friend, you know, like kind of pet and he'd always go shoot things, so. I grew up in Alabama and we used to shoot guns a lot too, and the fact that I was into that kind of a game and the fact that I used to shoot guys myself really got me into like, long distance kind of sports. So, I got my two expert, my marksman and my sharp shooter qualifications and because I'm really good with my eyes, you know, that got me into archery because it's a lot easier to do here rather than shooting guns.",Why archery?,When did you learn archery?,What made you do archery?,,,,,,,
Jargon,Navy,What is a chief?,"A chief wears this anchor right here. A Chief is basically the supervisor of the enlisted side of the operational portion of the ship. He's actually been in the Navy for a long time. Most Chiefs become Chiefs after about twelve years or maybe fourteen years. Some of the hot runners can become Chiefs after eight years but basically, no matter what, number one, they're really good at their job, number two, they have the support of the officers to make sure that they can take care of the plants themselves and number three, they have really good expertise and years in doing what they've been doing. So, they can be trusted to actually tell you what to do because they've done it so many times themselves.",What does Chief mean?,Who is a Chief?,Is Chief Petty Officer and Chief the same?,,,,,,,
Jargon,Navy,"What does ""in port"" mean?","So, we have this term, it's 'in port'. 'In port' means that you're stationed, you're not stationed you're actually at another country's, kind of, naval base. It might not actually be a naval base. It's a place that can hold ships. So, when you're on deployment, let's say, you're in the middle of the ocean, you're there for a month or two months. Then you finally want to, you know, put your feet on land, so you could probably stop in Hong Kong or Singapore, wherever they can hold a ship that's safe for a United States naval vessel. You can pull in and then, that's a new country for you. That's 'in port'.","What is ""in port""?",What does it mean to be in port?,When are you in port?,What is a port call?,What does port call mean?,,,,,
"Jargon, Training",Navy,What is A school?,"A school is the initial training that joining members of the enlisted branch go to. So, my A school was Electrician's Mate A school. Whatever your rate is, then you have an A school and, for initial people, C school for more advanced people. So, A schools can range from, maybe a couple of weeks to maybe, several years. Mine was six months, in fact.",What is the first school in the Navy?,What do you study in A-School?,What A-school did you attend?,Does everybody go to A School?,What goes on at A School?,Is there another name for A-School?,What is an A school?,How will I learn my position if I have no experience?,,
Jargon,Navy,What is a rate?,"A rate is basically the specialty that a military person has. So, my rate is EMC, Electrician's Mate but you could have Fire Control Men, you could have Boatswain's Mate. So, whatever you go to A school for, that's gonna be the term, your rate, for the rest of your military career.",What does rate mean?,What does the Navy call specialities?,What's the way to tell what a sailor does?,,,,,,,
JobSpecific,Navy,What experience do you have with nuclear bombs?,"So, the nuclear question. What experience do I have with nuclear bombs? I don't have any idea what they are. I know kind of, what goes inside them because my job particularly deals with nuclear things but the nuclear technology that's used to power an aircraft to go through the water is very different from the nuclear reaction that goes on inside a nuclear bomb. Now that's not to say that some people don't. I was on an aircraft carrier, which means that there are no nukes on an aircraft carrier. However, other nuclear technicians, they go on submarines. Now, we have ballistic submarines, so they're walking right beside those nuclear bombs. We call them tridents or yeah yeah, I don't know anything about the submarine force, you have to ask them.",Do all people like you work on A-Bombs?,Do you often work on A-Bombs?,Are you afraid of atom bombs?,Did you work on nuclear bombs?,Have you seen nuclear bombs?,Does your position involve creating nuclear bombs?,Did you build nuclear bombs?,Did you build nukes?,,
JobSpecific,Navy,How often have you been deployed?,"I've been deployed three times. I joined the Navy when I was 21 years old, in 2000 and then I stayed there for eight years. So, the first two years were for school and then the last six years, that's the time I was on the aircraft carrier and during that time, I went out to the sea, deployment, for six months each, well, six months then seven months then eight months within two year sprints. So, in two years, you're supposed to go on one deployment, six months time. Then, you're supposed to come back for a year, I'm sorry, you're supposed to come back for a year and a half. So, six months deployment, one and a half years, you know, stationed at home, six months deployment, one and a half years stationed at home. So, because, I was in for six years, I did three deployments.",When do you get deployed?,How many deployments do you go on?,Are you always deployed?,How many times do you go on deployment?,,,,,,
Background,,What was 9-11 like for you?,"9/11 has a special place in my heart because I had just joined the Navy, well I was in school when it happened. That was, maybe the first year that I was in, I hadn't seen a ship yet. I didn't know what the military life outside of school was like, but I remember walking down my steps to my roommate, when he saw, when we both saw together, the first, actually I saw the second plane hit, the first one had already been hit and my roommate called and he was like, ""Hey, look at this!"" After it got started, I remember that there was a little bit of fear that I had, you know, I didn't know how big this thing was going to be. I definitely didn't know that there was a war that was about to be started but I did realize that, that's when it finally hit me. Before, I thought, the military is a place that you go, you learn some kind of job, you have a nine to five job and you probably clean some things, you work out a little bit but after 9/11 happened, then I realized, ""You know what?"", there's a job that needs to be done and I'm probably going to be the one that's going to need to do this. So, I went into protection mode at that time. That's what it meant to me, 9/11.",Did 9-11 make an impact on you?,How did 9-11 affect you?,How was 9-11 for you?,Were you serving during 9-11?,Did you fight in a war after 9-11?,Do you remember 9-11?,Where were you when 9-11 happened?,Did you know anyone affected by 9/11?,Do you remember 9-11 as it affected your career?,Was your career affected by 9-11?
"JobSpecific, Motivation",Positive,Why do you love your job?,"So, I'm particularly fond of the military. I joined when I was 21 and I didn't really have that many skills available to me. I graduated high school and I wasn't the best high school grad, you know, many people in the military aren't and I tried college for a while and I was very, an on and off again student. I got a few Fs when I was there and because I was working two jobs at the time and you know, my days were pretty full. So, the military actually allowed me to have a semi-regular life, you know, like a semi-regular life. Because I was taking care myself, because I didn't have the support of my family, the military welcomed me with a job, a place to stay, some cash in my pocket, a skill set and that pretty much, once I got that grounding, then I was able to be very independent, very self sustaining for a long time. So, it's kind of, it took care of me in that way. So, do I love the military? You could say that I do. You know, it's the thing that allowed me to have a college education later on, it's the thing that allowed me to save up so much money and I think I'm doing pretty well for someone my age, so. As far as my job, my job as an Electrician's Mate, I didn't, it's not the job that I really wanted to do at the beginning. I wanted to learn languages and you know, travel the world a lot and I'm a nuclear technician. We weren't really allowed to do that because you're a nuke, you have to stay on the continental United States, So, I couldn't visit, I couldn't be stationed in Germany, I couldn't be stationed in France, which, you know, really, was irritating for me. And, I wasn't a very good engineer. I didn't have the engineering mindset when I joined the military at first. However, I grew to love my job because the training that they give you, they make you a real expert at it. So, once you find a job that you can do, you start doing well and then you start getting awards, you start learning more things on your own and eventually I said, ""You know what? Electrician's Mate is really cool. It's one of the best jobs that you can have in the military. So, I think it's, my love for the Navy comes from all of that combined.",What makes you love your job?,Why do you like what you do?,Why do you enjoy what you do?,What is good about what you do?,What do you love about the Navy?,,,,,
Misconceptions,Navy,What gets romanticized about your career field that really isn't that great?,"So, I'd have to admit, the military does a very good job of marketing itself to be very, very tough, very strong and very team-oriented. You can drive down any street and if you see a picture for the military, you might see someone in these, in this uniform, but in a very very movie style picture. And it's not always like that. For the most part, we're not soldiers. I'm not a soldier, I'm a sailor which is different than what many people think of the military. When you think, when many people think of the military, they think of a full-metal jacket, you know, with your hard hat, your helmet and, you know, walking around with a gun and to tell you the truth, I've never, you know, picked up a machine gun. The best I got was, like a little laser pointer in bootcamp. Otherwise, I've never, I've never seen a gun. So, the real military is a wide range of jobs. You have people working on the weapon system, you have people talking languages, you have people down in the nuclear plants, you have people that are cooks, you have people showing the jets how to move. But, what's really presented, what's romanticized is the basic soldier, you know, the Army style, the Marine style. So, the Navy's kind of different, in a good way.",What is exaggerated about the Navy?,What do people think is good about your job that really sucks?,How is your job worse than what people think?,,,,,,,
Culture,Navy,What makes the Navy different than other branches of the military?,"The Navy is different than other branches in a lot of different ways but I think, about the second or third year that I was in the military, that I was in the Navy, I saw it as four different types, maybe five if you considered the Coast Guard. So, if you want to be the soldier that you hear about in the movies, then you join the Marines. They work out a lot more, they're the first people that start to fight the war. You have to, you know, be pretty strong and pretty brave, in the other branches too but more so for the Marines. If you want to be similar to the Marines but you want the tough lifestyle, you want the, you know, the rough, rugged fighting but you're more mechanically oriented, then you can try the Army. So, the Army, that's when you drive in tanks, that's when you set up communication systems in the middle of the desert. So, they're kind of Marines but they're not the first ones out there. If you want a, kind of, more civilian style job, then you join the Air Force. Air Force is known that you, it's known that you have some of the best equipment. For instance, at Travis Air Force Base, they have excellent golf clubs. They have, you have basically, a nine to five job. You can, kind of, sit in office many times. It's not always that case. You know, you can find lots of different jobs in any service but this is what was going on in my mind in the second year that I was in the Navy. So, the Navy is different from all of those. So, for instance, when you're on deployment, when you're six months, when you're traveling around in the middle of the ocean for six months, it's not like you're working out every day, also it's not a nine to five job in an office because you're working pretty much like, the whole day, you know, and it's not in an air conditioned office. It's sometimes down in the middle of the plants. The thing that the Navy has going for it is that you should be very technical. You should know your job better than any of your civilian counterparts. So, if you want to be known as someone who's like, pretty bright with when it comes to computers, when it comes to mechanical components, fixing machines, then the Navy is for you.","How does the Navy differ from the Army, Air Force and Marines?",Are the other services like the Navy?,Do the other services compare with the Navy?,How is the Navy different from other services?,,,,,,
Misconceptions,Navy,What are some of the common misconceptions about your field?,"Some of the common misconceptions about being in the Navy, well, the biggest one I hear is, well, ""How often do you swim?"" and I'd say, ""I can't even swim"" and they're like ""What? You know, you're in the Navy!"" Yeah, you know, it's not like you're in the middle of the ocean and then you jump over the edge and you know, like, have a swim call or anything. You don't, I didn't really touch the water so much. So, the fact that you're on so many boats and you don't, you know, like touch the water at all for being in the Navy. That's a trip for a lot of people.",How are people fooled about what you do for a living?,Do people get the wrong idea about what you do?,What are the myths about what you do?,Do the movies and TV portray your job well?,Is you work as stressful as it is shown on TV?,,,,,
"Misconceptions, JobSpecific, STEM",,What are some of the common misconceptions about working in nuclear technologies?,"Something that I get asked pretty often about my job, being a nuclear technician is, ""Wow, do you get to press the button?"" and I'd always have to explain, ""So, I'm an Electrician's Mate. As a nuclear technician, I don't really work with nuclear bombs."" They get that confused. I didn't know. In fact, when I joined the military, I thought I was going to be working on nuclear bombs but the nuclear technology field is something different. We work on the engines and so, the nuclear technology that we're working with has nothing to do with exploding at all.",Is working on nuclear power well understood by others?,What do people get wrong about nuclear technologies?,What do most people get wrong about the nuclear field?,What don't people know about the nuclear field?,What do people think of that is incorrect about the nuclear field?,,,,,
Misconceptions,Navy,What do you do in the Navy that is different from what you expected?,"The Navy is very different than what I expected when I joined. I didn't really know that much about the military. My father was in the army and I should have had a better clue than what I did but I never, you know, I barely visited when he was in the army. He just came home and then, you know, took care of us. So, I had that same understanding that most people think about when they hear about them, the military, that is, that you're going to put on the hat, you're going to wear these clothes,you're going to, you know, go to foreign countries and fight wars. So, I did fight wars but I never really visited the country itself. My war was on a ship itself, on an aircraft owned by America. So, I didn't ever go to Iraq, I didn't ever go into Iran, I didn't ever go to Saudi Arabia. I didn't go to those places but I still fought the war, so that's kind of different than what I was expecting. I also bought into the mentality that everyday is going to be like P.T, physical training, good for you, good for me, but you barely work out. You are supposed to keep in shape. So, if you get overweight, then, you know, that could be a problem but for the Navy at least, as long as you meet the standards in the training which happens every six months, they make sure that you're not overweight, that you can do some push-ups and some sit-ups, then you're good to go and some people actually, they kind of skate around the system. So, people are a lot less fit than what I thought I would be doing. I thought I'd be like super buff, you know, model style but it's, that's not really expected of you.",Were you disappointed by your preconceived notions about the Navy?,Did your recruiter tell you something that was not true?,Did you know you'd be doing this kind of work?,How is your work different from what you expected?,Did the Navy job meet your expectations?,,,,,
JobSpecific,Navy,How did your work day change over your career?,"When I started my career, then I was an E3, which is the third rank that you can be in the hierarchy. Not a lot was expected of me. I get to work, they say, ""Go fix this pump"", ""Go work with that guy"" and then at the end of the work day, around like four or five o'clock, then, probably not much was really expected of me. They'd say, you know, ""Just go to your bed"" or ""We'll see you later"". It depends on whether you're on deployment or whether you're stationed at home but you might have to work, maybe one or two hours extra every other day. However, as I progressed, when I became an E6, which is a first class or a Chief which is an E7, then, after that normal work day of telling people what to do, you know, you're there the same exact time as they are, you have to do, like, the follow up at the end. So, for instance, they get done at the end of the day. So, now that you have that information, while they get to go home or they get to, like, you know, have that downtime, you have to go report that to other people. You have to do the paperwork that other people are requiring. So, you have to wait till the normal work is done and then you have to add on the supervisory specialization that you have to give at the very very end. So, you work more as you get higher in the rank.",Compare you day now to when you started?,Is you work day different now?,Did you like the way your work day used to be?,How has your work day changed over a period of time?,Has your work day changed over the years?,,,,,
JobSpecific,Navy,How has your view of this line of work changed over time?,"My view's changed for the military and a couple of ways. The first way is, that I understand the different roles of the military now. Before, I just thought we were just one big group, you go fight a war and I didn't know who did what but now, I see where we stand globally as far as, like, what branches do what service. Aircraft people, they stay pretty much on United States soil and then they send huge ships to do logistics. Marines, they're the ones who keep in really good shape so that they can go and get that first push when we start the war, when we start a battle. We have the Army people who like, provide support to the Marines and they fight themselves too, you know, but they're the ones like, shooting guns and stuff. So, like, you start to learn all of these things and later on, as a supervisor, you get more information about why we are doing things. So, for instance, why we're fighting in Iraq, why we are sending these planes over there and how the aircraft carrier can support them as opposed to like, when you're, you know, fresh on this ship, like, I don't know, I'm just here on this boat. I'm supposed to fix that pump, that's all I know. So, you get more knowledgeable about things the longer you've been in.","Have you changed your opinion about this line of work and if so, how?",Has your opinion of your job altered?,What about your attitude change concerning your profession?,Has your view of this work changed and how?,,,,,,
"Travel, Background",Navy,"Where did you have to move in your career, and how did that change things each time?","I moved a lot when I was in the military and I'm really happy about that because you keep hearing about America and how it's different in different places. So, I got to visit the four corners of America and I got to see the different lifestyles. So, I grew up in Alabama which is, like, down south in a black community. Everybody around me, my neighbors, everyone was black and then, you know, you go to school that's mixed but I got to see that. I grew up some of my time in Flint, Michigan which is a very urban place but it's on the poorer side. So, that glove part, you know, I know all about that. And when I joined the military, then my first school was in Charleston, South Carolina which is another down south place but I got to see, you know, it's little bit more mixed. Then I went up to New York, Albany which is nice green country and I got to visit 'The New York City', you know, very often so that was really cool for me, to visit such a famous place. Later on, I got stationed in San Diego and it's super hot, well, it's good temperature, it can be very hot as opposed to New York which was freezing cold and it's a very big city. You know, it's my style of, I'm not a country backwards boy, you know, like, climbing mountains and hunting. I am a city guy myself. So, I got to see San Diego which is, like, I'm from California originally so that's up my tree. And then, I finally got to visit Bremerton, Washington which is in the middle of Washington state and it's kind of country, you can own bigger houses there, you know, for much cheaper. So, it's much less expensive than California and I knew a lot of people who used to be Californians but then they, you know, changed over to Washington because the life is a lot easier. They liked having a five bedroom house with a big green yard for the kids to play in and nice and quiet neighborhoods, you know, so, a lot of people change. So, I got to see all those and eventually, I realized out of all the places that I visited in America, I'm a California guy.",Tell me about you being transferred?,Is change of station tough?,Do orders to a new command disrupt your life?,,,,,,,
"Culture, STEM",Navy,What do you find unique about your career field?,"My career field is very very unique. From what I understand, 60% of the nuclear technicians out there in the world come from the Navy. So, I'm a nuclear technician. I don't think that I would have had his training had I not joined the military itself. So, being a nuke is very very specific. You know, there aren't that many places that have it, the nuclear power plants up along the edges of America and there are the subs in the ships of the United States Navy. So, that's very unique in itself.",Is your job different from others?,Do other jobs seem like yours?,Why is your job special?,,,,,,,
"Fit, STEM, Growth/learning",Navy,Are great practitioners in this field made or born?,"Are great practitioners of this field made or born? I would say that it's a little bit of both. Now, there's some psychology here. I do believe that when you're born, you have certain innate abilities, comes from your mom and your dad, comes from your race. Some of us are different skinned, some of us are taller or shorter, some of us are, you know, stronger based on your genes and I also think that, like, your mind is, it follows the same trait, you know, like everybody's different. Some people are artists when they're born, some people are engineers when they're born. However it depends on how you grow up. So, you can take someone who's an artist as a kid and then you can train them through their lives to become a great engineer. Now, maybe they might not be the best engineer because it's not in their bodies but they can do a good job, a great job in fact. So, it's a combination of both. It depends on who your mom and your dad were. Hopefully, you got that training, whatever training that you want to be and later on in your life but if you don't, the military, who realizes this, can train anybody to do anything. So, some people will have to do a lot more work to achieve their goals. Some people can, for instance, join the nuclear field like I am and it can be a breeze for them. Some people might have to put in the work, but regardless of that fact, they can take anybody, whether you're an expert from birth or whether you need to put some time in it and they'll make sure that you do the pipeline so that you can do the job well.",Can I do this work?,Who can't do their job?,Can one be trained to do this well?,,,,,,,
"Priorities, STEM, Advice",Navy,What priorities would you recommend for a person entering this field?,"Some of the priorities that I would suggest for someone entering the field, well, me personally, once I found out that I was going to become a nuke, become a nuclear technician, I guess I wasn't going to, for about seven months or eight months, so I took some community college classes to, kind of, brush up on some of the physics, some of the math and I have to tell you, that was a very big benefit. I didn't know anything about physics, like, for instance, I didn't know like, what happened with gravity and shooting bullets and stuff and some common things that I would have gotten wrong but because I took those college classes, that helped me prepare myself better to do well in A school. Because I did well in A school that, you know, like, set me off on a big career path later on. But it's not just like, nuclear technician, it could be, for instance, electronics technician. You might want to brush up on some of your voltage and your current and your resistors. You could be a cook. You might want to brush up on, like, the different specialties of the flavors that you're going to be using or you know, ask some other cooks out there, like, ""What does it take to be good at my job?"" So, just kind of understand the field that you're going into and try to learn about as much of it as you can beforehand.",What should I do first if I want to do this?,What most important for me to do?,Are there things that would keep me from doing this?,,,,,,,
"JobSpecific, Management",Navy,How fair are the expectations of you as an employee?,"So, the fairness in the Navy, it, I have to say that the military is fair. However, they have some intricacies that I have to say. So, for instance, let's say the economy does poorly. Then the President is to blame. Now, no one's going to say, well, ""You know, President, you are the one that caused that entire city to be downgraded."" It wasn't his job, you know, like, maybe it's the President before him. However, he takes responsibility for it. So, there's a lot of responsibility taking for things that you don't directly control but because it was under your guidance, you are the one that, who people look to, whether it was your fault or not. So, if for instance, my military unit has many people that aren't physically fit, then they're going to say, ""Chief, what is wrong with your unit?"" Now, I don't have any excuse. I could say, well, ""You know, I tell them to work out and they just don't listen."" I could grab them by the collar and like, try to run with them but in the end, the people that are working for you, it's their, it's under their cognizance and you just take responsibility for it. So, is that fair? In many cases, you might not think that it is fair but that's the system that we play by and as long as you're familiar with those rules, then that kind of motivates you to be more involved in the things that you're supervising, to make sure that they go right.",Do you get good orders?,Are you ever asked to do more than you are able to do?,Who decides how much work you should do?,Do you think you are overworked?,Are you overworked?,,,,,
"JobSpecific, Failure",Navy,How accepting of failure is this work environment when a good and honest effort was made?,"If you try your best or you follow the directions as good as you can, then you have my word, you have nothing to worry about. If something goes wrong, for instance, like, let's say that there's a piece of equipment that doesn't work the right way and you can't complete your mission, then, of course, they might say, ""You know what, like, you should have done more preventive maintenance on it or you should have looked at it better"", but no one's going to fault you for that. If for instance, something else goes wrong that you tried your best to complete and for some reason, it doesn't work out the way that you expect, then you might get talked to, you might get, you know, because the responsibility is there, someone has to blame someone and it could be you but you won't get punished for it, which is something that I'm very proud about for the Navy. They're not going to bash people for doing quality work.","If you screw up, but worked hard, do you get another chance?","Is failure, even if it is not your fault, held against you?",Do you get blamed if something does not work?,,,,,,,
"Growth/learning, STEM, JobSpecific",Navy,What range of tasks and opportunities does this field present to allow me to grow?,"So when you come into the military from day one you are provided with many opportunities to grow and expand yourself. So, even in boot camp, some of the tasks that they provide for you, that they ask you to do are kind of complex. So some people, let's say they were really good in high school. It can be very easy for them, they understand the math that's involved, they understand how how the physics works, how to tie the knot. But for some people it could be the first time that they've ever seen it in their lives. Maybe they've never even been on a ship before you know so be a lot harder for them. So, the cool thing about the navy is that it gives you all the resources that you need, hands down. So if you don't need it then you probably won't use it but if you do need it then it's all a matter of asking a chief ""Hey where can I get help"" or a matter of going to your local library and getting that book. The biggest thing is that there's gonna be someone to your left and someone to your right that can work with you hand in hand to make sure that you complete your job. But what the Navy doesn't want is someone who can't do their job who is trying to do their job because that's gonna get someone killed. So they make sure that whether it's tying a knot or painting a ship or it's going down and fixing the pump they're gonna make sure that you can complete your job and if there's any question to it then they're not gonna allow you to do it so.",Can I move up?,Does everybody have a chance to get promoted?,Is there always something new to learn and master?,,,,,,,
Management,Navy,How satisfied have you been with your bosses in your career?,"The bosses that I've had in the navy have been varied. Some of them I've got along with greatly but others they- in many cases it it depends on the type of personality that they have and just like with anyone, somtimes you make friends sometimes you make enemies if you can say that. So most people are just somewhere in the middle so the people that you would have a beer with in real life, those the people you can joke around with, those are the people that understand your personality and they're the ones who respect your work the best. However I gotta say that many people think that the military can be political, so for instance you could have a work center that has like four or five people and then you can have a supervisor for them and you can see that the supervisor has a better communication with you know two or three people in the unit. So the quiet person who barely ever talks to that supervisor could get frustrated in the fact that his work isn't being recognized the way that it should. So I've had that personal problem too. But it is what it is. You just take an average of your whole entire career. Sometimes you will be a superstar and sometimes you are gonna be kinda like the bottom of the list. But for the most part as long as you you present a good effort then you'll be successful. I made it to chief, so it seems like most of what I've been doing with my bosses has been on the positive side.",Is you leadership competent?,Are officers helpful or are they pests?,Do people senior to you screw with you all the time?,,,,,,,
"STEM, JobSpecific",Navy,Describe the technological environment in which you've worked.,"So some of the technology that I worked on in my career as a nuclear technician, it's kind of divided into two parts because the nuclear technology field is divided into two parts. The first one is electrical things, I'm an Electrician's Mate, so I used many components like a watt meter, a volt meter, oscilloscope these are all equipment that you use to touch things around the plant to get readings on them. See what their oil level is, see what they're voltage is, see what the current is, see what the power is. So they're really used all throughout America as electricians as use them. The other part of my job, the nuclear technology field, is very specific most of the time. But if you think of Homer Simpson, he was a nuclear technologist. It only deals with things that the uranium cycle can do to make power. So some of things that I worked on deal with the nuclear part of the aircraft carrier and the way that it makes the ship run. So for instance it makes electricity. So for instance I worked with turbine generators. The nuclear technology of the aircraft carrier makes steam, so the steam will power lots of different things all around the ship. So all of the valves that it takes to make sure that the steam goes to the right places, so that a spin pumps, or to move the screws of the aircraft carrier so that it can move through the water. All of those are things I dealt with as far as technology.",What is the technology around you every day?,Do you work with a lot of technical equipment?,Do you work with fancy gear or just regular tools?,Do you work in a lab or on-site?,,,,,,
"STEM, Future",,What is your opinion on nuclear energy and its future?,"With nuclear energy, maybe because I have a bias because I went through the program but what's really pushed upon us is that it's very safe. It's one of the safest ways to make energy that we have. Now there is a concern about nuclear waste and of course you know we have nuclear waste at the end of an aircraft carrier's life cycle, but it's controlled in a certain spot and we put in the middle of the ground as opposed so let's say charcoal which produces fumes in the air as opposed to sunlight which doesn't provide the energy for the surface area that it has , to produce as much as the nuclear power that is. As opposed to wind which requires these big things in far off places. So nuclear technology can be built anywhere in a safe manner, and in fact the navy has a history of zero incidents of nuclear failures in the navy's history, so we're really proud of that. I think that nuclear technology should be the way to go for our future energy needs; however, I do understand people's hesitation with taking on nuclear power, especially with the thing that happened in Japan-the great Japanese earthquake in 2001. So it's been a big problem to try to pick up all of the all the pieces there. They still have problems with it, even though it has been you know like eight years later. However that took a huge natural disaster to cause a problem that day, so whether it's charcoal whether it's sunlight you know no matter what, when you have a big earthquake like that then that is going to happen but otherwise nuclear power is one of the safest ways to make energy that I know of, and that's what we are taught.",Do you think this field will be around for years or go away?,Are you happy working in this field?,Don't you think this work is dangerous to everyone?,,,,,,,
Culture,Navy,What organizations were most helpful to you in your career?,"The organizations most helpful to me number one has to be the military healthcare system so I think I hurt my thumb I also sprained my foot really bad and one thing that you don't really have to worry about being in the military is the top of this head to the bottom of your feet- it's all taken care of. You might have to pay a little bit more for your family but other than that the rates are really cheap and it's very convenient. Another thing that I think of, another association I think of when I think of the military that is actually on the fun level is MWR. Without MWR I would have a hugely different impression of the military but they throughout my whole entire career if I ever wanted to play pool, if I ever wanted to bowl, if I ever wanted to go hiking, skiing, camping, they were right there with super friendly people to make sure that our work outside of our hard military life is rewarded. And finally I have to give my credit to the USO. Whenever I go to an aircraft carrier they're the nicest sweetest people. They give me hot dogs, cakes, cookies, they provide me a place to sleep, they allow me to put my bags down, especially when I want to walk around the aircraft carrier without being over burdened. I see other people out there waiting in these long lines, back up against the wall with the kids and then I see the USO people and their military families having the time of their lives even though it's a five hour flight. So hats off to USO.",What organizations are important to your work?,Do you have a professional society?,Should I join any professional groups?,,,,,,,
Jargon,Navy,What is MWR?,"MWR stands for morale, recreation, and welfare. That's basically the military's leisure association, you go in there you can ask them anything from hiking equipment, camping equipment, maybe they can show you a place to shoot guns. If you're in a foreign country they can tell you all the different places around that you can enjoy yourself. So for instance in San Diego, they told us where Disneyland is, Seaworld, how to go to Mexico safely, how to go to Las Vegas, all the things that are around San Diego. They also give you cheaper rates than civilians can get. So basically if you're in any place that has MWR that's the first place to go when you want to try to do something fun out in the community.","What does morale, welfare and recreation do?",Who takes care of your having a good off-duty life?,Is MWR a Navy organization?,,,,,,,
Jargon,Navy,What is USO?,"USO stands for the United Services Organization. I don't specifically know like why they were formed but I I know that a lot of people who are associated with the military before, maybe they're veterans themselves, maybe it's the wife of someone in the military, maybe it's someone who just has a lot of respect for the military. They come and they volunteer their time to show their respect to the military in lots of ways. The way that I know is that they're at airports and they have a little building off to the side or maybe they're on the second level of the airport where you can go in and you can rest, you can eat some of their food, you can have conversations with other people on similar flights, and it's really convenient. I'm sure that they do other things as well so I wanna give them credit for that but the way that I know them is from their support at the airports.",Is USO the group that puts on shows for GIs and Sailors?,What does USO stand for?,Is USO part of your life?,,,,,,,
"Risk, JobSpecific",Navy,What kind of risks do you need to take in this field?,"You might want to try to develop yourself into the best sailor that you can be, and when you do that, when you want to try to do that, that means that you have to take on jobs that aren't usually easy. So it all began when I joined the join the military. At first I had the opportunity to take normal jobs, slightly higher jobs, and in their most advanced field, nuclear technology. So that's what I chose to do. I didn't take the easy route in that case and for me it worked out really well. As I became a nuclear technician then lots of jobs start popping up for you so again you have to decide well do I want to have an easy life, have a normal nine to five job. Do I want to go home at the end of the night or should I try this supervisory position that you hear that they have to stay on the ship later, they have more responsibly put on them, they're blamed a lot more for things. So basically you have to make your life worse some people would say, but I think it's just more responsible. Just like with any job the more responsibility you take, the more risks you have of getting in trouble now because you're taking care of this work center your blamed for that work center if something goes wrong. However if you can do your good job and have that work center be better because of you. You tell the people what to do and they have less of incidence of failure you bring your boss down there and say well this is the way it used to be but I told this person to do X, this person to do Y and now this person is better because of that. So now that supervisor that's in front of you will give you an award for that so the only way to progress yourself, to become a chief, senior chief, master chief, is to put yourself in that role to take on those risks of failure and ultimately reap the rewards.",Is this dangerous?,Do you sometimes have to take chances?,Has this job ever made you feel insecure?,,,,,,,
"Education, Growth/learning, Advice",Navy,Should I go to college before or after serving?,"I went to college after I did the military. I think that's one way to do it, but you have a wide range of opportunities for college. If you ask if you should go to college before you start serving that depends on what you wanna do. If you wanna have a very good enlisted career, and you don't plan on becoming an officer then I suggest that you join the military right away. Officers need a college degree, so if you get the college degree first then you can become an officer as soon as you join the military. You can apply to become an officer and every year thereafter, however you probably wouldn't start your career four years later. So that could be a hindrance if you wanna have a full enlisted career. For people that aren't sure what the what they want to do, I still suggest that they join the military right away because you can go to school while you're in the military. I took a few classes myself. So if you decide that college isn't for you then you didn't waste those four years. Also military college can be free in many cases. It can be very very cheap, they have the tuition assistance that can reduce the price by a few thousand dollars or ultimately make it free and you can down take lots of classes during your off time. So that means you can kill two birds with one stone, you can get the work experience and you can do college at night time. For some people like me, I didn't want the military work to interfere with my school. I wanted to get As, so that's why even though I wanted to go to school the entire time that I was in the military, I waited until I got out so I could use the Montgomery GI Bill, so I could go to a very expensive university, and so that I could really focus on my school without worrying about work in the middle. So between going to school in the beginning if you want to become an officer, going to school during your career if you're thinking about making the military a career itself, or doing college at the very end, so you can enjoy the Montgomery GI Bill, the post 9-11 benefits, and all the free stuff. You have to decide where you fit in that range.",College first or later?,Will the Navy let me go to college while on active duty?,Do college grads do better in this kind of work?,,,,,,,
"Impact, JobSpecific","Navy, Positive",How can your work change the world?,"I think that that the navy change the world, the military can change the world, and ultimately America can change the world if we use the money that we are spending for the military wisely. So America spends I think six hundred billion dollars per year, which is from what I understand several times more than any other country. It's maybe the next six countries combined total, that's what the military spends. So what are we using that money for I would say that it's policing the world. We make sure that we have a huge military so that there aren't huge fights breaking out all over the world like it used to be two hundred three hundred years ago because there wasn't a main force. Then you have England attack France, Iraq attack Saudi Arabia, I'm making up countries but you understand that there wasn't a global force for good making sure that everybody isn't going crazy with all the attacking. So yes America does attack itself too and there's an ideology behind that. But ultimately as long as America can control the huge fights that break out then I'd say that people for the most part in most countries will appreciate that protection that we are providing.",Is your work important to all of us?,Will you work help or hurt us?,Will the future be better because of your work?,,,,,,,
