Tags,Helpers,Question,Answer,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
"JobSpecific, Opportunities",Navy,What opportunities do you have to alter your own work schedule?,"So, it depends on what your rank is but the people that are above you, they're the ones who kind of tell you what it is you're supposed to be doing. So, if you're one of the lower pay grades, then, in the morning, you kind of just sit around and you wait for them to pass out the work to everyone. A Chief will come in and say, ""Okay you're on pumps today, you're on valves today, you're fixing the drains today, you're in the bilge today."" Chiefs are the ones who actually tell people what to do. So, they don't need to be told what it is they're supposed to be doing because they only have one job, which is to hand out the work. On the other hand, Officers, has basically the same pay grade, the same direction of flow. So, for instance, an O1, O2, O3, they're told by the higher level people who they're supposed to be managing, ""You're supposed to be tagging along with these people"", or I think for Officers, their main goal is just to be, to train themselves. So, they hang out in their room or they hang out down in the plants, just studying. So, Officers have a lot more opportunity to self-study. Enlisted people, they will know exactly what they're doing for the first two or three years of their career.",Can you work your own hours in the Navy?,Can you choose when to work in the Navy?,Can you design your own work schedule in the Navy?,"Can you decide what to do, when to do in the Navy?",,,,,,
Lifestyle,"Navy, Negative",How many Navy members have high stress symptoms?,"So, for the eight years that I've been in the US Navy active duty service, I've seen everyone have high stress symptoms, I myself am in included that several times. So, these working hours can be really long and there have been many times when I just wanted to say, ""Hey, you know, I just want to go to my bed and relax and sleep and not have anyone tell me what to do"" but the difference between a military person and a civilian is that it's ingrained in us to take orders. So, regardless of how I feel, at the end of the day, I'm going to do my work. Maybe a civilian person would quit their job, maybe a civilian person would yell at their boss but military people, they don't do that. That's our culture. So, you live with it. You live with the stress that comes with the job.",Is a Navy career stressful?,Are Navy members stressed?,How stressful is the job?,Do you suffer from stress in the Navy?,How many Navy people suffer from stress?,,,,,
Fit,Navy,What happens if I don't like this line of work?,"So, if you're in the Navy and you find out that you don't like the job that you're doing, the best thing I can say is, at least for a short amount of time, you have to suck it up. I know some people who didn't want to be Machinist's Mates but they were given an option of like three or four jobs, they chose something else and then they were given that Machinist's Mate job anyways. So, at the end of four years, and you have to do your four years, they lived that life, they learned those things, they did that training, they did that job and at the end, then they left and did something else for the civilians. You can't really change your job after you have decided to do it. So, me, I've been an Electrician's Mate this whole entire time and there are very very few opportunities that I could actually change. I could've been an officer and then my lifestyle would have changed or I could have chosen my command later on in my career. That would have changed my lifestyle but it wouldn't have actually changed my job itself. So, I guess one big suggestion is make sure that the job that you're getting yourself involved in, is something that you think you could really do and have fun with.",What if I don't like it?,What if I don't want to stay in the Navy after I get in?,What happens if I hate my Navy position?,Am I allowed to leave the Navy?,,,,,,
Opportunities,,What opportunities do you have to change career field?,"You can change career fields after a while, either in the military because you've been doing your job for a while and you can choose your next command that you go to or you can try to do a job that just requires your pay grade but doesn't require a specific job. Like, for instance, Electrician's Mate, I am an E7, so I can do an E7 job, a Chief job that doesn't require Electrician's Mate itself but those are few and far in between. So, once you get out of the military, if that's the choice that you choose to make, then I think that the skills that they provide you, for instance, math and science and taking orders, those can be applied anywhere. So, as long as I'm in a technical field, I think as an Electrician's Mate, I can do anything from working on aircraft carriers to working in the academic field. Right now, I'm a computer science major and I'm still using some of the Electrician's Mate things that I learned. So, your opportunities to expand your career greatly widen after you get out of military.",Can you change positions in the Navy?,Will I have the choice to pivot careers?,Is my position set in stone in the Navy?,Can I switch positions in the Navy?,Can I switch careers?,,,,,
JobSpecific,Navy,What experiences do you have with nukes?,"When I joined, I had a couple of opportunities in front of me. I think I originally wanted to be a crypto tech but the nuclear field was very very exciting. They said that I had a good opportunity to go to the Naval Academy, they said that I'd learn physics and chemistry and thermodynamics and nuclear power, you know, very very well, they said that it's an advanced field and people out there in the civilian world know it. So, they gave all of these positives to join the nuclear field and I got to admit, that actually overshadowed any other job that I wanted to pursue. In A school, you learn, basically graduate level nuclear work, nuclear studies. So, I'd been in college and I went to master's courses and I got to admit, the military is actually more intense than college, than any college that I'd been to. They work you for eight hours per day, they give you lots of tests and it's simple, they always say that nuclear field is as hard as a pre-calc or I'm sorry, a pre-algebra class and that's actually true. Everything is written down for you in easy to read explanations and so if you could read normally as a high school student, for instance, if you got As and Bs and maybe even Cs in high school, then this learning is no problem for you. The difference is, you have to be willing to do it for a long time and if you start lacking, then you need to start doing all the homework that they tell you to do. They're not going to let you fail. The difference is, everybody that goes through this training, by the end, for the nuclear field at least, they know exactly what you're going to do, how to do the nuclear training that they've been shown and if you can't, then you have to do something else. So, there is no opportunity for failure.",Have you dropped a nuke?,Have you made a nuclear bomb?,Do you know how nuclear bombs work?,Have you seen a nuclear bomb?,,,,,,
JobSpecific,Navy,What is the role of nuclear technology in the Navy?,"When I joined and they told me I was going to be in the nuclear field, I have to admit, until I started going to the school itself, I did not know what a nuke was. So, did I work with nukes? The answer is no. 'Nukes' mean nuclear weapons and if you work for a submarine, for a ballistic submarine, then you do see the nukes but you're not the one who is working on them. What the nuclear field means, is that we work for the engineering portion of the nuclear-powered aircraft carriers. So, we're the engine of the ship. If you think of a car as the aircraft carrier, then we're the things that make it, you know, go 'Boom!'. We're the thing that makes it go forth through the road I guess and we're the people that make electricity happen for the entire ship, we're the people that make the CD player run, basically we're the life blood of the aircraft carrier.",How is nuclear technology used in the Navy?,How is nuclear technology important to the Navy?,What makes nuclear technology important?,Why do you need nuclear technology in the Navy?,,,,,,
Background,,What does your startup do?,"I had a good opportunity to meet a really smart Chinese person when I was working as a, when I was education abroad here in Japan. So, I finished and I went to USC to start my master's and he finished and he went back to China to start his start-up. I had to ask him a few questions for the games I was making at USC and he was asking how to design a virtual reality program that he was making for me and we found out that we work pretty well together, you know, we both thought we were pretty smart, we both thought like, we work well together, we made each other laugh, so he said, ""Hey, why don't you join my start-up?"" So, I was there as a founding member and the games that we're making, we've made many in fact. One is that we used a Kinect to be combined with a Leap Motion controller and you can move around the play area in this kind of like virtual reality world, fighting dragons. Another game that I made was made with the VIVE controller and where you shoot zombies. The current game that we're making is supposed to be really really popular. It's basically a cross between Super Mario and Legend of Zelda, where you just walk in this world going up and up, trying to fight this monster at the top. It's really cool and it's a, people say it's a lot of fun.",What is your startup?,What work does your startup do?,Are you in a startup?,What are you building in your startup?,,,,,,
Background,,Do you speak any other languages?,"When I started to go to school, I wanted to be able to speak five languages by the time I was 27. I was 21 at that time. So, that's why I wanted to join the military, to go to their world famous language schools and learn to speak French, which I knew a little bit of, German, which I knew a little bit of, Spanish which I knew a little bit of and my English. Since then, I've also learned Japanese. So, the reason that I'm in Japan right now, is so that I can actually learn the language fully, because I didn't know that many languages up until now. So, I decided, ""Hey, come here, live for a long time and learn it, you know, intensively for a year.""",What languages do you speak?,Do you know a lot of languages?,How many languages do you speak?,Do you speak languages other than English?,,,,,,
"JobSpecific, STEM",,Describe a particular technical issue you've had to solve on the job.,"When you're in the military, you're given a lot of technical training but we're fortunate that we don't really have to apply that technical training. When you're working, you have this list of things that you're supposed to do and you do it, you have this list of procedures that you're supposed to follow and you follow them and when you don't know something, that's wrong with something that you're working on, like a pump or a valve or a voltage regulator, there's already a list, a well-guided list of the procedures that you're supposed to follow. So, I didn't deal with technical problems so much in that regard, however that doesn't mean that we don't figure out technical things all the time. So, especially during your A school and your power school, you're presented with, you know, college level problems all the time. So, for instance, here is an electrical schemata and you're not getting voltage at this, at this point. So, how is that possible? Or, this is a picture of a pump and for some reason, there's water coming from this part. Please troubleshoot how you would figure out where this water is faulting at. So, after A school, you're presented with those types of problems pretty often throughout the time that you're in the Navy. You don't see them so often. When you do see it, it's a really big problem because, like, we do so much preventive maintenance and we do so much work that you're definitely not supposed to see them. But when you do have that problem, it's a big group effort and it's really hard to like, say that one person actually figured it out but you're presented with those small theoretical problems all the time.",What is an example of a technical solution you've found?,Have you solved technical problems?,What technical issues do you solve?,Can you give an example of a technical problem you solved?,,,,,,
JobSpecific,Navy,How much of your time is spent with people versus with technology?,"Most of my time is spent with people, regardless of where you go. There's very few times that you're going to find yourself just being alone, just like I'm in port, they always have a buddy along to make sure that you don't get in trouble. When you're working, they actually have a buddy that goes with you to make sure that you follow the procedures the right way. So, you're always working with between two and five people for normal preventive maintenance that you do, and for each of those things, the only thing that we do is we work with machines. So, you're always with people and high tech equipment all the time.",Do you spend all of your time with machines?,Do you stare at a screen all day?,Do you get to talk to people?,Is it boring working on only technology?,,,,,,
Miscellaneous,,What's up?,"I'm enjoying life here in Japan. I just got through teaching a class earlier today and it was really fun. So, I'm enjoying life.",What is up?,What is going on?,What are you up to?,What are you doing?,,,,,,
Miscellaneous,,How is the weather?,"The weather is actually pretty cold. It's very sunny here in Sasebo, Japan and you think that you can go outside in your tank top but it's freezing.",What is the weather like?,Is it really bad outside?,Is it nice there?,What's the weather?,,,,,,
Miscellaneous,,How are you?,"I would say that I'm pretty good today. I've been studying lately, so my mind and my motivation is pretty high. I'm smiling every single day, so life is good.",How are you doing?,Are you well?,How's it going?,How was your day?,,,,,,
"Miscellaneous, Background",,Where are you?,"Right now, I am in the north-east of Japan. It's in the Tohoku region. You might remember that that's the place that the big earthquake of Japan happened in 2011. So, I'm in, kind of like the countryside of Japan and there are big buildings and skyscrapers but life is very quiet up in this part.",Where are you now?,Where do you currently live?,Which city are you in right now?,Are you in the US now?,,,,,,
Background,,What are your hobbies?,"My hobbies are very different depending on which country I'm in. So, right now I'm in Japan and I don't really do too much other than play video games but when I'm in the United States, then I'm playing online games, Guild Wars 2 and I do lots of archery. I shoot archery with the USC Archery Club and I do it here too. They call it Kyudo, you know, which is like, very you know, a super cool way of doing archery but I really like doing that for sport.",What do you do for fun?,What are you interested in?,What do you do in your spare time?,What do you like to do?,,,,,,
Background,,How did you get into archery?,"I got into archery based on the fact that I was kind of a geek when I was growing up. I used to play Dungeons and Dragons and you know that they're like these warriors and elves and my favorite character was like, a ranger, so he always had his little helper friend, you know, like kind of pet and he'd always go shoot things, so. I grew up in Alabama and we used to shoot guns a lot too, and the fact that I was into that kind of a game and the fact that I used to shoot guys myself really got me into like, long distance kind of sports. So, I got my two expert, my marksman and my sharp shooter qualifications and because I'm really good with my eyes, you know, that got me into archery because it's a lot easier to do here rather than shooting guns.",Why archery?,When did you learn archery?,What made you do archery?,,,,,,,
Jargon,Navy,What is a chief?,"A chief wears this anchor right here. A Chief is basically the supervisor of the enlisted side of the operational portion of the ship. He's actually been in the Navy for a long time. Most Chiefs become Chiefs after about twelve years or maybe fourteen years. Some of the hot runners can become Chiefs after eight years but basically, no matter what, number one, they're really good at their job, number two, they have the support of the officers to make sure that they can take care of the plants themselves and number three, they have really good expertise and years in doing what they've been doing. So, they can be trusted to actually tell you what to do because they've done it so many times themselves.",What does Chief mean?,Who is a Chief?,Is Chief Petty Officer and Chief the same?,,,,,,,
Jargon,Navy,"What does ""in port"" mean?","So, we have this term, it's 'in port'. 'In port' means that you're stationed, you're not stationed you're actually at another country's, kind of, naval base. It might not actually be a naval base. It's a place that can hold ships. So, when you're on deployment, let's say, you're in the middle of the ocean, you're there for a month or two months. Then you finally want to, you know, put your feet on land, so you could probably stop in Hong Kong or Singapore, wherever they can hold a ship that's safe for a United States naval vessel. You can pull in and then, that's a new country for you. That's 'in port'.","What is ""in port""?",What does it mean to be in port?,When are you in port?,What is a port call?,What does port call mean?,,,,,
Travel,Navy,"Where have you been ""in port""?","I was fortunate enough to be in port in many countries. I got to go to Hong Kong, Singapore. I went to Australia. Three different places, Hong Kong and Tasmania. I also went to Dubai and Bahrain and Kuwait. I got to go to the Malaysia, the Golden Triangle which was really cool. My favorite place was Sasebo, Japan, which is where I am now and a couple of other places. It's really been a fun journey.",Where have you travelled?,Where have your ships ported?,What ports have you been to?,Where have your ships docked?,Which countries have you been to on your aircraft carrier?,,,,,
"Jargon, Training",Navy,What is A school?,"A school is the initial training that joining members of the enlisted branch go to. So, my A school was Electrician's Mate A school. Whatever your rate is, then you have an A school and, for initial people, C school for more advanced people. So, A schools can range from, maybe a couple of weeks to maybe, several years. Mine was six months, in fact.",What is the first school in the Navy?,What do you study in A-School?,What A-school did you attend?,Does everybody go to A School?,What goes on at A School?,Is there another name for A-School?,What is an A school?,How will I learn my position if I have no experience?,,
Jargon,Navy,What is a rate?,"A rate is basically the specialty that a military person has. So, my rate is EMC, Electrician's Mate but you could have Fire Control Men, you could have Boatswain's Mate. So, whatever you go to A school for, that's gonna be the term, your rate, for the rest of your military career.",What does rate mean?,What does the Navy call specialities?,What's the way to tell what a sailor does?,,,,,,,
JobSpecific,Navy,What experience do you have with nuclear bombs?,"So, the nuclear question. What experience do I have with nuclear bombs? I don't have any idea what they are. I know kind of, what goes inside them because my job particularly deals with nuclear things but the nuclear technology that's used to power an aircraft to go through the water is very different from the nuclear reaction that goes on inside a nuclear bomb. Now that's not to say that some people don't. I was on an aircraft carrier, which means that there are no nukes on an aircraft carrier. However, other nuclear technicians, they go on submarines. Now, we have ballistic submarines, so they're walking right beside those nuclear bombs. We call them tridents or yeah yeah, I don't know anything about the submarine force, you have to ask them.",Do all people like you work on A-Bombs?,Do you often work on A-Bombs?,Are you afraid of atom bombs?,Did you work on nuclear bombs?,Have you seen nuclear bombs?,Does your position involve creating nuclear bombs?,Did you build nuclear bombs?,Did you build nukes?,,
JobSpecific,Navy,How often have you been deployed?,"I've been deployed three times. I joined the Navy when I was 21 years old, in 2000 and then I stayed there for eight years. So, the first two years were for school and then the last six years, that's the time I was on the aircraft carrier and during that time, I went out to the sea, deployment, for six months each, well, six months then seven months then eight months within two year sprints. So, in two years, you're supposed to go on one deployment, six months time. Then, you're supposed to come back for a year, I'm sorry, you're supposed to come back for a year and a half. So, six months deployment, one and a half years, you know, stationed at home, six months deployment, one and a half years stationed at home. So, because, I was in for six years, I did three deployments.",When do you get deployed?,How many deployments do you go on?,Are you always deployed?,How many times do you go on deployment?,,,,,,
Background,,What was 9-11 like for you?,"9/11 has a special place in my heart because I had just joined the Navy, well I was in school when it happened. That was, maybe the first year that I was in, I hadn't seen a ship yet. I didn't know what the military life outside of school was like but I remember walking down my steps to my roommate, when he saw, when we both saw together, the first, actually I saw the second plane hit, the first one had already been hit and my roommate called and he was like, ""Hey, look at this!"", so. After it got started, I remember that there was a little bit of fear that I had, you know, I didn't know how big this thing was going to be. I definitely didn't know that there was a war that was about to be started but I did realize that, that's when it finally hit me. Before, I thought, the military is a place that you go, you learn some kind of job, you have a nine to five job and you probably clean some things, you work out a little bit but after 9/11 happened, then I realized, ""You know what?"", there's a job that needs to be done and I'm probably going to be the one that's going to need to do this.  So, I went into protection mode at that time. That's what it meant to me, 9/11.",Did 9-11 make an impact on you?,How did 9-11 affect you?,How was 9-11 for you?,Were you serving during 9-11?,Did you fight in a war after 9-11?,Do you remember 9-11?,Where were you when 9-11 happened?,Did you know anyone affected by 9/11?,,
"JobSpecific, Motivation",Positive,Why do you love your job?,"So, I'm particularly fond of the military. I joined when I was 21 and I didn't really have that many skills available to me. I graduated high school and I wasn't the best high school grad, you know, many people in the military aren't and I tried college for a while and I was very, on and off again student. I got a few Fs when I was there and because I was working two jobs at the time and you know, my days were pretty full. So, the military actually allowed me to have a semi-regular life, you know, like <not clear>. Because I was taking care myself, because I didn't have the support of my family, the military welcomed me with a job, a place to stay, some cash in my pocket, a skill set and that pretty much, once I got that grounding, then I was able to be very independent, very self sustaining for a long time. So, it's kind of, it took care of me in that way. So, do I love the military? You could say that I do. You know, it's the thing that allowed me to have a college education later on, it's the thing that allowed me to save up so much money and I think I'm doing pretty well for someone my age, so. As far as my job, my job as an Electrician's Mate, I didn't, it's not the job that I really wanted to do at the beginning. I wanted to learn languages and you know, travel the world a lot and I'm a nuclear technician. We weren't really allowed to do that because you're a nuke, you have to stay on the continental United States, So, I couldn't visit, I couldn't be stationed in Germany, I couldn't be stationed in France, which, you know, really, was irritating for me. And, I wasn't a very good engineer. I didn't have the engineering mindset when I joined the military at first. However, I grew to love my job because the training that they give you, they make you a real expert at it. So, once you find a job that you can do, you start doing well and then you start getting awards, you start learning more things on your own and eventually I said, ""You know what? Electrician's Mate is really cool. It's one of the best jobs that you can have in the military. So, I think it's, my love for the Navy comes from all of that combined.",What makes you love your job?,Why do you like what you do?,Why do you enjoy what you do?,What is good about what you do?,What do you love about the Navy?,,,,,
Misconceptions,Navy,What gets romanticized about your career field that really isn't that great?,"So, I'd have to admit, the military does a very good job of marketing itself to be very, very tough, very strong and very team-oriented. You can drive down any street and if you see a picture for the military, you might see someone in these, in this uniform, but in a very very movie style picture. And it's not always like that. For the most part, we're not soldiers. I'm not a soldier, I'm a sailor which is different than what many people think of the military. When you think, when many people think of the military, they think of a full-metal jacket, you know, with your hard hat, your helmet and, you know, walking around with a gun and to tell you the truth, I've never, you know, picked up a machine gun. The best I got was, like a little laser pointer in bootcamp. Otherwise, I've never, I've never seen a gun. So, the real military is a wide range of jobs. You have people working on the weapon system, you have people talking languages, you have people down in the nuclear plants, you have people that are cooks, you have people showing the jets how to move. But, what's really presented, what's romanticized is the basic soldier, you know, the Army style, the Marine style. So, the Navy's kind of different, in a good way.",What is exaggerated about the Navy?,What do people think is good about your job that really sucks?,How is your job worse than what people think?,,,,,,,
Culture,Navy,What makes the Navy different than other branches of the military?,"The Navy is different than other branches in a lot of different ways but I think, about the second or third year that I was in the military, that I was in the Navy, I saw it as four different types, maybe five if you considered the Coast Guard. So, if you want to be the soldier that you hear about in the movies, then you join the Marines. They work out a lot more, they're the first people that start to fight the war. You have to, you know, be pretty strong and pretty brave, in the other branches too but more so for the Marines. If you want to be similar to the Marines but you want the tough lifestyle, you want the, you know, the rough, rugged fighting but you're more mechanically oriented, then you can try the Army. So, the Army, that's when you drive in tanks, that's when you set up communication systems in the middle of the desert. So, they're kind of Marines but they're not the first ones out there. If you want a, kind of, more civilian style job, then you join the Air Force. Air Force is known that you, it's known that you have some of the best equipment. For instance, at Travis Air Force Base, they have excellent golf clubs. They have, you have basically, a nine to five job. You can, kind of, sit in office many times. It's not always that case. You know, you can find lots of different jobs in any service but this is what was going on in my mind in the second year that I was in the Navy. So, the Navy is different from all of those. So, for instance, when you're on deployment, when you're six months, when you're traveling around in the middle of the ocean for six months, it's not like you're working out every day, also it's not a nine to five job in an office because you're working pretty much like, the whole day, you know, and it's not in an air conditioned office. It's sometimes down in the middle of the plants. The thing that the Navy has going for it is that you should be very technical. You should know your job better than any of your civilian counterparts. So, if you want to be known as someone who's like, pretty bright with when it comes to computers, when it comes to mechanical components, fixing machines, then the Navy is for you.","How does the Navy differ from the Army, Air Force and Marines?",Are the other services like the Navy?,Do the other services compare with the Navy?,How is the Navy different from other services?,,,,,,
Misconceptions,Navy,What are some of the common misconceptions about your field?,"Some of the common misconceptions about being in the Navy, well, the biggest one I hear is, well, ""How often do you swim?"" and I'd say, ""I can't even swim"" and they're like ""What? You know, you're in the Navy!"" Yeah, you know, it's not like you're in the middle of the ocean and then you jump over the edge and you know, like, have a swim call or anything. You don't, I didn't really touch the water so much. So, the fact that you're on so many boats and you don't, you know, like touch the water at all for being in the Navy. That's a trip for a lot of people.",How are people fooled about what you do for a living?,Do people get the wrong idea about what you do?,What are the myths about what you do?,Do the movies and TV portray your job well?,Is you work as stressful as it is shown on TV?,,,,,
"Misconceptions, JobSpecific, STEM",,What are some of the common misconceptions about working in nuclear technologies?,"Something that I get asked pretty often about my job, being a nuclear technician is, ""Wow, do you get to press the button?"" and I'd always have to explain, ""So, I'm an Electrician's Mate. As a nuclear technician, I don't really work with nuclear bombs."" They get that confused. I didn't know. In fact, when I joined the military, I thought I was going to be working on nuclear bombs but the nuclear technology field is something different. We work on the engines and so, the nuclear technology that we're working with has nothing to do with exploding at all.",Is working on nuclear power well understood by others?,What do people get wrong about nuclear technologies?,What do most people get wrong about the nuclear field?,What don't people know about the nuclear field?,What do people think of that is incorrect about the nuclear field?,,,,,
Misconceptions,Navy,What do you do in the Navy that is different from what you expected?,"The Navy is very different than what I expected when I joined. I didn't really know that much about the military. My father was in the army and I should have had a better clue than what I did but I never, you know, I barely visited when he was in the army. He just came home and then, you know, took care of us. So, I had that same understanding that most people think about when they hear about them, the military, that is, that you're going to put on the hat, you're going to wear these clothes,you're going to, you know, go to foreign countries and fight wars. So, I did fight wars but I never really visited the country itself. My war was on a ship itself, on an aircraft owned by America. So, I didn't ever go to Iraq, I didn't ever go into Iran, I didn't ever go to Saudi Arabia. I didn't go to those places but I still fought the war, so that's kind of different than what I was expecting. I also bought into the mentality that everyday is going to be like P.T, physical training, good for you, good for me, but you barely work out. You are supposed to keep in shape. So, if you get overweight, then, you know, that could be a problem but for the Navy at least, as long as you meet the standards in the training which happens every six months, they make sure that you're not overweight, that you can do some push-ups and some sit-ups, then you're good to go and some people actually, they kind of skate around the system. So, people are a lot less fit than what I thought I would be doing. I thought I'd be like super buff, you know, model style but it's, that's not really expected of you.",Were you disappointed by your preconceived notions about the Navy?,Did your recruiter tell you something that was not true?,Did you know you'd be doing this kind of work?,How is your work different from what you expected?,Did the Navy job meet your expectations?,,,,,
JobSpecific,Navy,How did your work day change over your career?,"When I started my career, then I was an E3, which is the third rank that you can be in the hierarchy. Not a lot was expected of me. I get to work, they say, ""Go fix this pump"", ""Go work with that guy"" and then at the end of the work day, around like four or five o'clock, then, probably not much was really expected of me. They'd say, you know, ""Just go to your bed"" or ""We'll see you later"". It depends on whether you're on deployment or whether you're stationed at home but you might have to work, maybe one or two hours extra every other day. However, as I progressed, when I became an E6, which is a first class or a Chief which is an E7, then, after that normal work day of telling people what to do, you know, you're there the same exact time as they are, you have to do, like, the follow up at the end. So, for instance, they get done at the end of the day. So, now that you have that information, while they get to go home or they get to, like, you know, have that downtime, you have to go report that to other people. You have to do the paperwork that other people are requiring. So, you have to wait till the normal work is done and then you have to add on the supervisory specialization that you have to give at the very very end. So, you work more as you get higher in the rank.",Compare you day now to when you started?,Is you work day different now?,Did you like the way your work day used to be?,How has your work day changed over a period of time?,Has your work day changed over the years?,,,,,
JobSpecific,Navy,How has your view of this line of work changed over time?,"My view's changed for the military and a couple of ways. The first way is, that I understand the different roles of the military now. Before, I just thought we were just one big group, you go fight a war and I didn't know who did what but now, I see where we stand globally as far as, like, what branches do what service. Aircraft people, they stay pretty much on United States soil and then they send huge ships to do logistics. Marines, they're the ones who keep in really good shape so that they can go and get that first push when we start the war, when we start a battle. We have the Army people who like, provide support to the Marines and they fight themselves too, you know, but they're the ones like, shooting guns and stuff. So, like, you start to learn all of these things and later on, as a supervisor, you get more information about why we are doing things. So, for instance, why we're fighting in Iraq, why we are sending these planes over there and how the aircraft carrier can support them as opposed to like, when you're, you know, fresh on this ship, like, I don't know, I'm just here on this boat. I'm so <word>, fix that pump, that's all I know. So, you get more knowledgeable about things the longer you've been in.","Have you changed your opinion about this line of work and if so, how?",Has your opinion of your job altered?,What about your attitude change concerning your profession?,Has your view of this work changed and how?,,,,,,
"Travel, Background",Navy,"Where did you have to move in your career, and how did that change things each time?","I moved a lot when I was in the military and I'm really happy about that because you keep hearing about America and how it's different in different places. So, I got to visit the four corners of America and I got to see the different lifestyles. So, I grew up in Alabama which is, like, down south in a black community. Everybody around me, my neighbors, everyone was black and then, you know, you go to school that's mixed but I got to see that. I grew up some of my time in Flint, Michigan which is a very urban place but it's on the poorer side. So, that glove part, you know, I know all about that. And when I joined the military, then my first school was in Charleston, South Carolina which is another down south place but I got to see, you know, it's little bit more mixed. Then I went up to New York, Albany which is nice green country and I got to visit 'The New York City', you know, very often so that was really cool for me, to visit such a famous place. Later on, I got stationed in San Diego and it's super hot, well, it's good temperature, it can be very hot as opposed to New York which was freezing cold and it's a very big city. You know, it's my style of, I'm not a country backwards boy, you know, like, climbing mountains and hunting. I am a city guy myself. So, I got to see San Diego which is, like, I'm from California originally so that's up my tree. And then, I finally got to visit Bremerton, Washington which is in the middle of Washington state and it's kind of country, you can own bigger houses there, you know, for much cheaper. So, it's much less expensive than California and I knew a lot of people who used to be Californians but then they, you know, changed over to Washington because the life is a lot easier. They liked having a five bedroom house with a big green yard for the kids to play in and nice and quiet neighborhoods, you know, so, a lot of people change. So, I got to see all those and eventually, I realized out of all the places that I visited in America, I'm a California guy.",Tell me about you being transferred?,Is change of station tough?,Do orders to a new command disrupt your life?,,,,,,,
"Culture, STEM",Navy,What do you find unique about your career field?,"My career field is very very unique. From what I understand, 60% of the nuclear technicians out there in the world come from the Navy. So, I'm a nuclear technician. I don't think that I would have had his training had I not joined the military itself. So, being a nuke is very very specific. You know, there aren't that many places that have it, the nuclear power plants up along the edges of America and there are the subs in the ships of the United States Navy. So, that's very unique in itself.",Is your job different from others?,Do other jobs seem like yours?,Why is your job special?,,,,,,,
"Fit, STEM, Growth/learning",Navy,Are great practitioners in this field made or born?,"Are great practitioners of this field made or born? I would say that it's a little bit of both. Now, there's some psychology here. I do believe that when you're born, you have certain innate abilities, comes from your mom and your dad, comes from your race. Some of us are different skinned, some of us are taller or shorter, some of us are, you know, stronger based on your genes and I also think that, like, your mind is, it follows the same trait, you know, like everybody's different. Some people are artists when they're born, some people are engineers when they're born. However it depends on how you grow up. So, you can take someone who's an artist as a kid and then you can train them through their lives to become a great engineer. Now, maybe they might not be the best engineer because it's not in their bodies but they can do a good job, a great job in fact. So, it's a combination of both. It depends on who your mom and your dad were. Hopefully, you got that training, whatever training that you want to be and later on in your life but if you don't, the military, who realizes this, can train anybody to do anything. So, some people will have to do a lot more work to achieve their goals. Some people can, for instance, join the nuclear field like I am and it can be a breeze for them. Some people might have to put in the work, but regardless of that fact, they can take anybody, whether you're an expert from birth or whether you need to put some time in it and they'll make sure that you do the pipeline so that you can do the job well.",Can I do this work?,Who can't do their job?,Can one be trained to do this well?,,,,,,,
"Priorities, STEM, Advice",Navy,What priorities would you recommend for a person entering this field?,"Some of the priorities that I would suggest for someone entering the field, well, me personally, once I found out that I was going to become a nuke, become a nuclear technician, I guess I wasn't going to, for about seven months or eight months, so I took some community college classes to, kind of, brush up on some of the physics, some of the math and I have to tell you, that was a very big benefit. I didn't know anything about physics, like, for instance, I didn't know like, what happened with gravity and shooting bullets and stuff and some common things that I would have gotten wrong but because I took those college classes, that helped me prepare myself better to do well in A school. Because I did well in A school that, you know, like, set me off on a big career path later on. But it's not just like, nuclear technician, it could be, for instance, electronics technician. You might want to brush up on some of your voltage and your current and your resistors. You could be a cook. You might want to brush up on, like, the different specialties of the flavors that you're going to be using or you know, ask some other cooks out there, like, ""What does it take to be good at my job?"" So, just kind of understand the field that you're going into and try to learn about as much of it as you can beforehand.",What should I do first if I want to do this?,What most important for me to do?,Are there things that would keep me from doing this?,,,,,,,
"JobSpecific, Management",Navy,How fair are the expectations of you as an employee?,"So, the fairness in the Navy, it, I have to say that the military is fair. However, they have some intricacies that I have to say. So, for instance, let's say the economy does poorly. Then the President is to blame. Now, no one's going to say, well, ""You know, President, you are the one that caused that entire city to be downgraded."" It wasn't his job, you know, like, maybe it's the President before him. However, he takes responsibility for it. So, there's a lot of responsibility taking for things that you don't directly control but because it was under your guidance, you are the one that, who people look to, whether it was your fault or not. So, if for instance, my military unit has many people that aren't physically fit, then they're going to say, ""Chief, what is wrong with your unit?"" Now, I don't have any excuse. I could say, well, ""You know, I tell them to work out and they just don't listen."" I could grab them by the collar and like, try to run with them but in the end, the people that are working for you, it's their, it's under their cognizance and you just take responsibility for it. So, is that fair? In many cases, you might not think that it is fair but that's the system that we play by and as long as you're familiar with those rules, then that kind of motivates you to be more involved in the things that you're supervising, to make sure that they go right.",Do you get good orders?,Are you ever asked to do more than you are able to do?,Who decides how much work you should do?,Do you think you are overworked?,Are you overworked?,,,,,
