Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
JobSpecific,Navy,carlosrios,What organizations were most helpful to you in your career?,"The organizations that have been most helpful throughout my career, I have never been one to shy to ask for help. Normally, it's always knowing the right people or the right place to ask to get some type of support the organization that I've always seen to the assist me in my career of course the military bases any of the military's. I've been able to communicate with the navy, the army, the airforce and the marines for support. And of course those organizations outside that military such as any education system I have no doubt I can call a college right now and ask for help in reference to education and I would get assistance",What organizations are important to your work?,Do you have a professional society?,Should I join any professional groups?,,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Risk",Navy,carlosrios,What kind of risks do you need to take in this field?,The risks that you should take in this field is take a chance to go out there and you have a customer who has a need come up with something new you don't have to constantly use the same way they did before on that sometime tends tends to be a constraint if they did it this way we should always do it this way so we bring in new folks all the time and some of them are younger employees they think outside the box and that's very important,Is this dangerous?,Do you sometimes have to take chances?,Has this job ever made you feel insecure?,,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Advice",Navy,carlosrios,Should I go to college before or after serving?,"I will always say go to college first before you join the military give yourself an opportunity to educate yourself and then apply what you learn maybe inside the military, maybe so in another field. If I was gonna do it all over again, my circumstances required me to go in before I got a college degree my children they will go to college first if they choose to join the military",College first or later?,Will the Navy let me go to college while on active duty?,Do college grads do better in this kind of work?,,,,,,,,,,,,,,,,,,,,,,
"Impact, JobSpecific","Navy, Positive",carlosrios,How can your work change the world?,I currently serve our customer who are the marines or the marine corps and me providing them a product or a service allows them to go out to the world and and win battles and that's what the marine corps do,Is your work important to all of us?,Will you work help or hurt us?,Will the future be better because of your work?,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Background",,carlosrios,What’s your favorite book of all time? Why?,My favorite book of all time has been The call of the wild by Jack London. I must've done nine report cards that's the every time I every opportunity I had to do a report card doing the other early years of my education he would always be called the wild and I think that led me to look for a different life of where I was growing up in in the environment I grew up in and maybe that's why I joined the marine corps because I want to see the world,what have you read that changed you?,have you read anything that made a difference in your life?,what's your favorite read?,Do you have a favorite book?,Is there a book that changed your life?,Is there a book that you love?,Your favorite book?,,,,,,,,,,,,,,,,,,
"Miscellaneous, Background",,carlosrios,What’s your favorite movie of all time? Why?,"My favorite movie of all times, well that's a difficult because I like Star Wars and the technology I've always wanted at at a used to grow up a lot of watching all the Star Wars in just imagine myself and in a different place again always relates back to act I grew up in and the technology. The first computer I was ever given was a Sinclair, a laptop and I wish I put as much effort back then I can't really tell fifteen sixteen years old when I got it how well would have been at today if I really applied what I was learning on this small old laptop. Who would know what I'll be doing today but Star Wars has always been one of my favorite movies",is there a movie you really like?,What is one movie that you love?,Do you have a favorite movie?,What movie do you love?,Your favorite movie?,,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Background",,carlosrios,"If you could meet anyone in the world today, who would it be and why? What would you say to that person?","So many and it depends on the frame of mind Gandhi, Mother Teresa, people who give up from themselves to others. I think one of things I do now I love STEM,  I like waking up in the morning and knowing that may have an opportunity to provide some mentorship to the, our younger generation. But it's always about giving myself to someone else. What would I say to them? I would I think anybody else will say thank you not even question why because I feel that I think that's something we all should do",one famous person you'd like to talk to about something of interest to you?,Who is one person you would like to meet and what would you ask them?,who would you like to meet and talk to?,Who would you love to meet and ask questions?,,,,,,,,,,,,,,,,,,,,,
Motivation,Positive,carlosrios,What kind of personal satisfaction do you get from your job?,"The personal satisfaction I get from my job is fulfilment and it gives me purpose. I wake up in the morning and I get to work and the camaraderieship between my fellow, my co-workers and the customer at the other end who need something. And again It's always about what can I do for someone else, it's always a plus and I get paid to do something I love to do which is a cherry on top. But at the end of the day, it's all about having purpose.",does your job make you feel good about yourself?,how does your work improve your own self-image?,what part of you feels good after a day's work?,Does your work satisfy you?,Do you feel satisfied doing your job?,Does your job make you satisfied?,,,,,,,,,,,,,,,,,,,
"Miltary, Fit",,carlosrios,"What qualifications, experience, do you look for when interviewing new people in this field?","What kind of qualifications do I look for or skills when I interview other people for these positions, I tend to of course is your education. You don't need to necessarily a degree but it does help. The more education I think the better you are able to articulate yourself especially with a customer. There's a lot of certification to get lean six, sigma, green belt, black belt or what not and how to improve our processes. The more experience you have I think the more of a partner you're going to be in these positions.",how should I sell myself to get in the Navy?,what do I need to be able to say about myself to work in this field?,What do recruiters look for when choosing new candidates for this field?,What do recruiters look for in potential candidates?,What do I need to do in order to get into this field?,What qualifications and experience do I need for this field?,,,,,,,,,,,,,,,,,,,
"Challenges, STEM",Navy,carlosrios,What do you see as the major problems for those working in this field today?,"The major problems I see in people that work in this field today are there inability to be flexible, you have to have drive. You always gotta remember especially in my line of work or logistics field the customer has a purpose, he has a mission and he can't stop because you decide you can't do something. So our ability to be able to be flexible and I drive to meet our customer's demands is very point.",What are the major issues of this field?,What do you see as the significant issues for those working in this field today?,What do you see as the huge issues for those working in this field today?,What do you see as the immense issues for those working in this field today?,Do you think working for this field entails some major issues?,,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Motivation",,carlosrios,What person do you most admire and why?,"A person that I most admire in my life is my wife.  She was a wife of a military service member. I would leave for a year and come home for two or three months, just to leave again for six months and this whole time she was able to to raise and maintain a household while I was gone. to Iraq. to Afghanistan so who do I admire the most in my life? my wife.",who is really cool to you?,what person stands out to you?,who is the best role model?,Whom do you admire?,Which person do you admire and why?,Who is a role model for you?,Who is your role model?,,,,,,,,,,,,,,,,,,
Background,,carlosrios,Where were you born?,I was born in New Haven Connecticut.,Where are you from?,in what city were you born?,what's your home state?,Were you born in Los Angeles?,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,Tell me a funny story?,"I'll tell you a funny story. When I was growing up I remember seeing the movie ""The Warriors"" and now after that movie, myself and two of my good friends are childhood friends: George and Booboo.  We created our own little gang called ""The Orphans"" after that movie.",make me laugh,what tickles you,tell me something funny.,Narrate a funny story.,have you ever been in australia?,tell me a story.,do you know any funny stories?,,,,,,,,,,,,,,,,,,
"JobSpecific, STEM",Navy,carlosrios,What did you do predictions on in the Marines? ,"So I was an analyst for the Marine Corps which required me to do maintenance predictions so Marine Corps send me to school to learn how to predict failures on aircraft, so same thing as if a part was gonna fail, how many flight hours or how many flights would it take before it failed, and me being able to predict how many of those parts I had to have readily accessible so they can be immediately get the aircraft back in a flying status.",What were you trying to predict in the Marines?,What did you do as an analyst?,What were your roles as an analyst?,What did you work on as an analyst?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Decisions",Navy,carlosrios,Why did you do artillery?,"When I first joined the marine corps, you had to take an ASVAB, which is a test to determine what career field you might fit in due to your level of education.  It's funny to me that I went open contract.  The reason I went open contract means that they didn't guarantee me a field because my scores weren't high enough, in fact I took the same test twice and got the exact same score which meant I knew what I didn't know and I've got %HESITATION selected to join artillery, which is wasn't one of the fields that needed a lot of education, but I was very fortunate because if probably one of the best things I did in my life.",For what reason did you do big guns?,What pulled you towards artillery?,Why did you choose artillery?,What made you do artillery?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Background",Navy,carlosrios,How long did you do artillery? What did you do there?,"I was in artillery, or what we call artillery men, for four years.  In those four years I had the opportunity of course to do a lot of training and I went on a lot of deployments. or I went away to other countries to train, but most important I was I had the opportunity I was sent to participate in the Gulf War.  I did that was four year of artillery, unfortunately I was told that I had after the four years I had to pick another job which I picked aviation, and I did became an analyst for the marine corps.",What duration of your service did you spend in artillery?,What was your role in artillery?,How long did you spend in artilerry?,What was your job function in artillery,What did you do in artillery?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,Who are your customers?,My customers currently are the marine corps.,Whom do you supply logistics?,What are the kinds of organizations you supply logistics to?,Which branches of military buy logistics from you?,,,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What are your main products?,"My main product as a logistics specialist are laptops, servers and currently drones.",Can you list your main products?,What all do you sell?,What are things you mainly sell to the military?,What kind of logistics do you supply?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, STEM",Navy,carlosrios,How do you work with engineers?,"When I work with engineers in my field, we work on an acquisition process to provide our customer a product, such as: I find them a computer, now I have to engineer a case for that computer.",What is your way of working with engineers?,How do you manage working with engineers?,What do engineers do for you?,Do you work with engineers?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Financial",Navy,carlosrios,How much financial work do you need to do?,I currently do some financial work with my customer because I've had the opportunity not only to do logistics but also program management.,How much of finance do you need to worry about?,How much of finance work are you responsible for?,Can you tell me how much of financial work you do?,,,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What do contracting people do?,The contract people currently assist me in developing new contracts to either buy material or provide services.,What is the job of contracting people?,What role does contracting people play in your job?,How can you define the function of contracting people?,,,,,,,,,,,,,,,,,,,,,,
Jargon,Navy,carlosrios,What is six sigma?  What are green belt black belt?,"Six sigma and the levels of yellow, green, and black belt are processes using production and during my early years.  However I was able to go to a community college that the marine corps send me to in order for me to help the organization improve its production process.",What do you mean by six sigma?,What do you mean by green belt and black belts?,Can you define six sigma?,Can you tell more about green and black belt?,What is the meaning of six sigma?,,,,,,,,,,,,,,,,,,,,
"Background, Family",Navy,carlosrios,Does your wife work?,"My wife was a homemaker for the initial probably twenty years, as much as I was when I initially was in the marine corps.   She had different jobs during that time.  Now she's a office assistant at the local hospital.",Is your wife a professional?,What job does your wife do?,Is your wife employed?,Is your wife a homemaker?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, STEM",Navy,carlosrios,How do you know how long it will take a part to fail?,"Normally using predictions and previous failures I'm able to determine when that part should fail and does it always fail at that time? No, but it gives me a general idea and allows me to prepare with more parts on the site.",How do you predict the time it takes for a part to fail?,How do you estimate the when will a part fail?,Can you find how long will a part take to fail?,How do you find out when a part will fail?,,,,,,,,,,,,,,,,,,,,,
"Combat, Military",Navy,carlosrios,Did you ever go into combat?,As a marine I had the opportunity or I was sent to the Gulf War in 1991 and then I also supported our troops when we were in Afghanistan.,Have you ever fought in combat?,Did you participate in a combat?,Have you ever been on field in a war?,Have you ever been deployed for combat?,,,,,,,,,,,,,,,,,,,,,
"Challenges, JobSpecific",Navy,carlosrios,What is the most challening part about your job?,"The most challenging part of my job is to try to find new ways to provide my customer a product or a service. Examples are: I can take something, I can buy something, put in a box and ship it to my customer. How do I ship it?  Do I send it via Fedex? Do I use the United States Postal Service or our own internal modes of transportation.  Do they put in a truck and just drive across?  It all depends on how quick my customer wants it.",what do you do that is difficult?,Is your job tough?,what's the worst thing about your job?,What do you not like to do?,What do you hate doing?,Was there ever a time you hated your job?,What did you hate about being in the Navy?,what is the biggest challenge you've had in the Navy?,what are the challenges of being a sailor?,Was there ever a time when you hated your job/,,,,,,,,,,,,,,,
"Challenges, Military",Navy,carlosrios,What is the biggest barrier to entry in this field?,"The biggest barrier to my field is not understanding what logistics does.  We're a broad field, we do transportation, shipping, handling, procurement and the individuals who come into our field should have a general idea where do they want to start their careers in.",what would keep me out of this line of work?,is there something that keep people from being able to do this?,what is the hardest thing to master before you can get in this field?,What do you have to discipline new cadets most on?,what is hardest for new recruits to learn?,what is difficult to adjust to when joining the Navy?,,,,,,,,,,,,,,,,,,,
"Motivation, Background, Military",Navy,carlosrios,How did you become interested in this type of work?,"I became interested in the logistics field because I've always felt that i did some type of logistics throughout my career.  In the marine corps, I provided parts.   In the marine corps, I lead marines to provide a service for someone else, and when I retired from the marine corps, I had the opportunity to continue to support the marines that I worked with the same level of quality as a logistician for the current organization I work for.",What got you into this job?,how did you come to want to do this?,Did you always want to be in this career field?,How did you you become interested in the Navy?,,,,,,,,,,,,,,,,,,,,,
"Decisions, Background, Motivation",Navy,carlosrios,Why did you choose this career?,I chose this career because of the exciting opportunities to continue to support my customer who I was very familiar with.,tell me why you are in the navy.,did you choose the Navy or was it forced on you?,why are in your current job?,why did you take this career path?,How did you choose the Navy?,what went into choosing your career in the Navy?,why did you join the navy?,was the Navy your first choice?,How did you decide to join the navy?,Why did you choose the military?,Why did you choose the Navy?,How did you decide you wanted to go into the navy?,What is your job today?,why did you choose your current job,,,,,,,,,,,
"Decisions, Military",Navy,carlosrios,"If you could do it all over, would you choose this career again?","If I had the opportunity to do this all over again and pick another field, I think I enjoy this that I don't have no regrets that I had the opportunity to do this.  I do tell other folks that if I could start again when I was going through school, in  elementary, middle school, high school, what not, I would've gone to college and who knows what I would've been doing today.",if you were starting over would you make the same choices about your career?,do you regret choosing this career path?,do you any regrets about choosing this profession?,did you miss out on anything by joining the Navy?,what do you give up for the Navy?,what negative consequences have come from your work?,do you regret anything from going to the navy?,,,,,,,,,,,,,,,,,,
"Background, Childhood",,carlosrios,"When you were a kid, what did you want to be when you grew up?",I think I've always wanted to be a marine.,did you dream of doing a job like this?,did you have dreams of being something else?,do you remember what you used to think you wanted to do as an adult?,do you like the arts?,are you artistic?,Do you have other passions besides STEM?,Why don't you just do music as a hobby then?,why didn't you pursue music?,do you like art?,,,,,,,,,,,,,,,,
"Background, Childhood",,carlosrios,What sports did you play in high school?,"I didn't play too many sports, I was very small, I think I weighed a hundred thirty pounds. I tried the football team in high school but it wasn't, it didn't work out the way I thought it was.",were you an athlete in high school?,were you ever on sports teams before coming in the Navy?,what sports did you like to play?,are you athletic?,what did you do in high school?,did you do any activities or extraurriculars in high school?,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,What is your favorite color?,My favorite color is blue.,do you have a favorite color?,do you have any color preferences?,"other than Navy blue, what colors do you like?",,,,,,,,,,,,,,,,,,,,,,
"Background, Family",,carlosrios,Are you married?,I am married.,have you got a spouse?,are you single?,do you have a wife?,are you in love?,do you have a girlfriend?,are you in a relationship?,do you date?,do you have a significant other?,how many times have you been married?,Do you have a significant other?,Do you have a girlfriend?,Do you have a boyfriend?,Do you date?,"Being in the navy, is it difficult for you to have a relationship?",Do you have any kids?,do you have a lover,,,,,,,,,
"Background, Family",,carlosrios,Do you have siblings?,I have two sisters that live in Philadelphia. I have two step sisters that live in Florida and one brother.,do you have any brothers or sisters?,how many kids in your family growing up?,are you an only child?,how is your relationship with your brother or sister?,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,Do you have any pets?,"I used to have a turtle, but the upkeep became too much for us so I retired him to a pond.",did you ever own an animal?,were you responsible for a pet?,did your parents allow you to have a pet?,have you had a pet?,do you like animals?,do you have a cat?,do you have a dog?,do you like pets?,Do you like cats?,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,What is your favorite food?,"Spanish food, I love rice and beans.",what do you like to eat?,what is your ideal meal?,do you have a favorite dish ?,what is you preferred cuisine?,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,What is your least favorite food?,Spinach.,is there anything you hate to eat?,what food makes you gag?,what food do you hate?,,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Lifestyle",Navy,carlosrios,What is the food like in the military?,"The food in the military tends to be very bland, they make food for a lot of people at the same time.",how is Navy chow?,are the mess halls good places to eat?,can you eat well in the military?,is there healthy food in the Navy?,how is the food?,how's the food?,what is the food like?,is Navy food good?,,,,,,,,,,,,,,,,,
Combat,Navy,carlosrios,Do you shoot guns?,"I have shot all types of guns.  I have shot artillery pieces, a 155 millimeter round, all the way to a 7.56 from an M16.",how often do you get to shoot guns?,do you fire rifles in the Navy?,does everyone use guns?,,,,,,,,,,,,,,,,,,,,,,
Combat,Navy,carlosrios,Did you ever have to kill anyone?,I was always taught by my dad that there's two things you don't talk about: The people you kill or the relationships you have.,Have you ever taken another life?,Did shoot someone ?,Have you ever killed?,Did you neutralize a target?,,,,,,,,,,,,,,,,,,,,,
"Recognition, Military, Jargon",Navy,carlosrios,What are the ribbons/awards that you've gotten?,"So I've had variety of ribbons and awards throughout my career.  I've had of course combat action ribbons, serving ribbons that identify the number of times I've been deployed or overseas, the number times I've been in a combat environment and then awards for excellence doing those times.",which medals did you earn?,what recognition have you gotten?,what did you do to earn your decorations?,have you gotten any awards for your service?,what are your military acheivements?,,,,,,,,,,,,,,,,,,,,
"Military, Culture, Background",Navy,carlosrios,Do you have any tattoos?,I only have one tattoo which is the United States Marine Corps tattoo.,do you like to have tattoos?,did you ever get tattooed ?,are tattoos common in the Navy?,what tattoos do you have?,show me your tattoos.,,,,,,,,,,,,,,,,,,,,
"Military, Fit, Skills",Navy,carlosrios,Do you have to be a good swimmer to work with the Marines?,You have to be a good swimmer to be a marine only because we tend to go deploy on ships and if you have to evacuate or leave a ship for whatever reason you're able to survive in the water until help comes.,can only good swimmers join the Navy?,do any non-swimmers get into the Navy?,do you have to practice swimming in the Navy?,what is the ability requirement for swimming?,will I get into the Navy if I can't swim?,can everyone in the Navy swim?,do you know anyone who can't swim?,Is there anyone in the navy who can't swim?,,,,,,,,,,,,,,,,,
"Military, Culture, Background",Navy,carlosrios,Do you have to wear a uniform (now)?,I do not have to wear a uniform now.,Do you wear a uniform?,Are you a uniformed officer?,Do you have a uniform?,Is there a uniform that you have to wear now?,,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What's something that most people don't know about logistics?,"Most people aren't aware that everyone does logistics.  Most companies, Amazon, Walmart, UPS, we do, and you do it at your house; such as your parents go to Walmart and buy groceries.  You might order on Amazon something for your house.  Your if parents might go and fix something outside.",Can you tell something that people do not know about your job?,Is there something about logistics that people do not know?,Do people know everything about logistics?,Can you shed light on some things that people do not know about logistics?,,,,,,,,,,,,,,,,,,,,,
"Mentor, Advice",Navy,carlosrios,Who gave you the best advice about your career?,"The best advice I got for my career was from one of my leaders in the marine corps.  He said to do your job you have to remain flexible, you have to be dedicated, and you have to enjoy what you do.","who was your ""go to guy"" regarding your career?",who was you best career counselor?,what person helped you the most to get where you are today?,what is the best advice you received?,What is the best piece of advice that you've received?,,,,,,,,,,,,,,,,,,,,
"Advice, Skills",Navy,carlosrios,How can I work smarter?,Working smarter means trying to do something a way that no one else has done it which tends to be something in logistics that makes you successful.  Thinking outside the box just because we did it this way for so long doesn't mean we can't do it another way.,is there a more effective way for me to approach this?,how can I improve my activities?,am I pursuing this the wrong way?,how can I become more efficient?,is there a better way to do this?,,,,,,,,,,,,,,,,,,,,
"Advice, Management, Military",Navy,carlosrios,What would you advise a person in this field to do in order to relate well with bosses?,"I recommend for a new logistician, to do, in order to relate well to your boss, is become good at what you do.  Educate yourself and become the go to person, the one who has that information when you have conversations.  You have to articulate yourself well in this field.",how do people learn to get along with their bosses?,is there away to avoid trouble with your bosses in this field?,how can I create good relations with senior personnel?,how do I make good relationships with management?,,,,,,,,,,,,,,,,,,,,,
"Military, Lifestyle, Benefits",Navy,carlosrios,Does your job give you housing?,My current job does not give me housing but when I was a marine they would provide a stipend or some funds so I can pay the rent or live on base.,are quarters provided?,are  barracks always available?,does everybody in the Navy live in government buildings?,do I have to pay for housing while in the Navy?,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Lifestyle",Navy,carlosrios,What has been your favorite place to live?,My favorite place to live was Okinawa Japan.  I enjoyed it because the people were incredibly nice and you got to see something that I would've never experienced in Philadelphia.,did you enjoy living in any particular place?,what were you favorite places you were stationed?,where were your most enjoyable assignments?,where did you love to live?,where is the best place to live?,Have you moved around?,Do you move a lot?,,,,,,,,,,,,,,,,,,
"Military, Lifestyle, Benefits, Travel",Navy,carlosrios,Did your job give you a chance to live overseas?,"My job gave me plenty of opportunities to live overseas.  Okinawa Japan, Hawaii, mainland Japan.",have you been assigned overseas?,have you been able to live abroad?,has the Navy moved you to different countries?,,,,,,,,,,,,,,,,,,,,,,
"Military, Growth/learning, Recognition",Navy,carlosrios,What was your promotion track throughout your career?,"My promotion track throughout my career started in the marine corps, as an E1, E2, E3 then all the way to E7 which is a gunnery sergeant in the marine corps, then I switched over to the officer rank or the warrant officer rank, which is one officer one, one officer two, one officer three, and then I retired, then I joined the current position logistics manager and I went from supporting basically from inventory management all the way to now, program management and logistics managing.",how have you advanced in the Navy?,tell me about you ranks or rates in the Navy.,can you characterize your career path?,how have you progressed in rank?,how did you get to be a chief?,,,,,,,,,,,,,,,,,,,,
"Military, Money",,carlosrios,What was your salary in your job?,"My salary in the marine corps is posted.  It's listed and doesn't change for the individual within each of the ranks and of course in the government service that I am in now that is also posted, but it ranges from anywhere from $70k to $140k.",what's the pay like?,how much have you earned?,can I see what people get paid in the Navy?,what do sailors get paid?,how much does the military pay?,do you make a lot of money?,what is the average salary?,do officers get paid more than regular people?,,,,,,,,,,,,,,,,,
"Jargon, Military",,carlosrios,Can you explain the government service grade system?,The government current grade system goes into GS schedule which is GS 1.  I'm currently a GS 13 and then you had GS 14 GS 15.  At that point you move over to another grade system to the government.,Can you tell more about the grade system that is used for government service?,How does the government grade system work?,What can you tell me about the grade system that is used by the government for servicemen?,,,,,,,,,,,,,,,,,,,,,,
"Lifestyle, Military",,carlosrios,How much do you work with military people vs. civilians?,I currently work with my customers who are military. I get the opportunity to either work with them at my current location or visit them at the different marine corps bases and I am surrounded by military and civilian.,What is the ratio of your work that you do with the military and civilians? ,How much of your work do you do with the military and the civilian folks?,Do you only work with the military?,Have you ever worked with civilians?,,,,,,,,,,,,,,,,,,,,,
"Lifestyle, Military",,carlosrios,What were your living quarters in the military? (What was the lifestyle? Similar to college?),"When I was in the military our living quarters changed depending on the rank and the location.  When I was single, I lived in a squad bay with seventy other guys.  Then I became an E4 and I had a room with two other guys and then I got married and I was a room in a house with my wife.",how are the living quarters?,are the barracks nice?,did you like living on a ship?,are the rooms cramped?,what is the quality of Navy housing?,Is Navy lifestyle similar to college?,Tell me about navy life,,,,,,,,,,,,,,,,,,
"Military, Risk, Culture","Navy, Negative",carlosrios,What are common crimes people in your job commit?,The common crimes that people in logistics sometimes commit are that they appropriate items that are not there.  They were there for a customer and instead of providing to the customer they take them or as you're developing contracts to provide a product they get what's called a kickback or profit from that.,do the Navy personnel commit crimes?,tell me about crime in the Navy.,are crimes common in the Navy?,are military members criminals?,what illegal things do people do?,,,,,,,,,,,,,,,,,,,,
"Military, Money","Navy, Positive",carlosrios,Did you receive a monetary bonus for joining?,"The first time I joined the marine corps I did not get a monetary bonus for joining, but I did when I reenlisted.  Every four years you have to reenlist or again commit to another four years in the service and I did get a bonus.",are there times you get extra money?,is there a signing bonus?,did you get a signing bonus?,do recruiters bribe you to enlist?,is money important,,,,,,,,,,,,,,,,,,,,
"Military, Benefits",,carlosrios,Can you tell me about retirement in your field?,"Retirement in my current field, you have to do so many years in the government service, unlike the military after twenty you can retire.  I am currently able to retire from this position in 2031.",how do you plan for getting out of the military?,what do you do when you retire from the Navy?,what benefits do retirees get?,what is Navy retirement?,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,What modes of transportation are fastest?,"There are several modes of transportation.  The fastest tend to be more commercial type modes such as FedEx.  Government transportation sometimes lag behind our a commercial versions.  Example: If I have to send something to Hawaii, I can either send it in on Fedex from here on an airplane straight to Hawaii, but if I send it through government I can send it from here on a truck.  It goes to San Diego on a truck it gets removed from the truck, it gets put on a boat.  In a boat takes it to Hawaii, normally it takes me thirty days.",How do you transport fast?,Which mode of transport do you prefer?,How do you transport your goods really fast?,,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Jargon",,carlosrios,What does logistics shipping do?,"Logistics shipping does just that, a ship's, a service manager or a logistics manager provides a product and develops the process to get it to the customer.",What does shipping logistics involve?,What do you mean by shipping logistics?,What does shipping logistics entail?,,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Jargon",,carlosrios,What does handling do?,"Handling are the ones responsible on preparing the packages for shipping such as, an example, the handling of one laptop might just require one transit case and one mode of transportation, vice a seven hundred laptops that I sent to Okinawa how do we handle, how do we package, how do we put it all together, and how do we ship it to our customer.",What do you do in handling?,What kind of work handling involves?,How do you do handling?,What is handling?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Jargon",,carlosrios,What does procurement do?,"Procurement is a process.  I'm buying something from a vendor and providing it to our customer so our purchasing agent go out to an organization, maybe Amazon, maybe on Google and they research a product that our customer wants.",What do you do in procurement?,What kind of work procurement involves?,How do you do procurement?,What is procurement?,,,,,,,,,,,,,,,,,,,,,
"JobSpecific, Jargon",,carlosrios,What does transportation do?,"Transportation is a method that we get our products, maybe a laptop, maybe a server over to our customer via truck or airplane on a boat.",What do you do in transportation?,What kind of work transportation involves?,How do you do transportation?,What is transportation?,,,,,,,,,,,,,,,,,,,,,
"Background, Motivation",,carlosrios,What made you interested in being a marine as a kid?,"The reason I chose to be a marine is I had friends who joined the other services and I always wanted to challenge myself and when I had the opportunity one chance meeting, I knew exactly what I wanted to do and that was with a recruiter, they stood apart from everyone else.",What inspired you to be a marine as a kid?,What part of being a marine made an impression on you as a kid?,Did you wanted to be a marine when you were a kid?,What gravitated you towards being a marine?,,,,,,,,,,,,,,,,,,,,,
"Mentor, Advice",,carlosrios,Who gave you the best advice about your life?,"The best advice I've gotten in my life, of course when I went into the marine corps I had those mentors like a master gunnery sergeant who came and told me to succeed you have to work hard and he showed by example and that was important for me.  Prior to going into the marine corps, best advice I got was from of course my mother who always worked hard and ensured that we had everything we needed and her advice was always work hard, make sure you carry yourself, you're honest and what you do and and it worked out for me that's what I did.  So it varied throughout my life and certain people, everytime I got to position and in my life and they continue to push me and I found that new mentor that provided me a restart or energize me for the next ten, twenty years of my career.",Who is your life mentor?,what person do you rely on for life advice?,what is the best piece of life advice you've gotten?,,,,,,,,,,,,,,,,,,,,,,
"Background, Growth/learning, Advice",,carlosrios,What is the most important lesson about life you have learned?,"The most important lesson that I've learned in life in general up to this point at least to this point of my life, is that you're writing a novel in your life in every year or every day or every month could be a chapter but it's important to understand that everything you do gets recorded and you have the potential to decide the outcome at the end of the book or what's the moral of the story or what's happened to the characters in your novel.  So ask yourself what do you want to see at the end when it's all said and done from the day you were born to the day you move on and someone reads your novel what do they get, what do they claim it to your life, what lessons do they learn so give yourself the opportunity to put stuff in your chapter for that chapter and it carries on to the next chapter of your life.",what is the best advice you can give about life?,what important things can you tell me about life?,what is the most essential thing you know about life?,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Advice",,carlosrios,What do you think is really important in life?,"What do I think it's a bit more important in life or what I think it's important to in my life it that it's a balance just finding out that you can you don't have to prioritize one thing over another.  Find that balance you'll be more happier, you got family, you got work, you got your professional life, you got your personal life, you got your spiritual life, and if you find that balance in three or all four you'll live a better and fuller of life.",what matters in life?,what really makes a difference in life?,what is central to your philosophy and approach to life?,how do I live a good life?,,,,,,,,,,,,,,,,,,,,,
"Motivation, Impact",,carlosrios,What problem are you looking to solve?,"One of the problems I'm looking to solve in my current field or in logistics, it's always been how can I get something to my customer faster.  Again, Amazon gets it to you in one or two days but can I really do that with that 2,600 systems and in combat environment, and something I'm constantly dealing with or something I'm constantly trying to figure out and which works better and I get close sometimes and sometimes my customer will get a quicker than he expected it, but we have to be realistic and understand that there is a process not only in my organization but in other countries. I'm I get from here to Afghanistan in two days, but once it goes to customs it might slow down.",What are you trying to fix?,What problem are you solving?,,,,,,,,,,,,,,,,,,,,,,,
"Motivation, Background",,carlosrios,How and where do you find inspiration?,"I find inspiration from the simple things around me or just my coworkers sometimes.   Sometimes I see someone working really hard to try to figure a solution for their customer or whoever they are supporting. And again, I look at it, I look for inspiration with the folks around me and again as a team that's what we're supposed to do.",Why are you inspired?,Where does your inspiration come from?,What inspires you?,How are you inspired?,Where does your inspiration come from?,,,,,,,,,,,,,,,,,,,,
